-9.97903,-0.0047884,0.493206
-9.92157,0.0047884,0.430956
-9.97424,-0.023942,0.426168
-9.95509,-0.0287304,0.402226
-9.98382,-0.0047884,0.373495
-9.95988,-0.047884,0.378284
-9.96467,-0.0143652,0.392649
-9.96946,-0.0143652,0.411803
-9.97424,0.023942,0.402226
-9.99819,-0.00957681,0.363919
-9.9934,-0.0383072,0.402226
-9.96946,0.0191536,0.45011
-9.97903,-0.0383072,0.493206
-9.99819,-0.00957681,0.397437
-9.97903,-0.023942,0.392649
-9.99819,-0.0143652,0.421379
-10.0078,-0.0287304,0.368707
-9.97424,-0.047884,0.454898
-10.0221,-0.0047884,0.416591
-9.96946,0.00957681,0.416591
