GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: EMG_Training_Data
InfoText: Gesture_Names:
Transport_Empty
Grasp
Transport_Load
Test
NumDimensions: 8
TotalNumTrainingExamples: 45
NumberOfClasses: 3
ClassIDsAndCounters: 
1	15
2	15
3	15
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 17
TimeSeriesData: 
2	-7	-20	-40	-4	1	-4	-1
6	-35	7	29	-1	-4	-15	5
1	-14	43	12	0	-1	-3	-5
-6	-46	-45	-13	-6	-4	-5	-5
4	1	2	-1	0	-1	-5	-1
8	9	-10	-7	-2	-4	5	1
-1	-9	-18	-5	-2	1	-1	-1
-2	5	-43	2	-3	-1	0	0
-1	-15	35	-8	-5	-7	-9	-3
0	8	-27	10	0	-4	-7	-2
0	9	-11	12	3	2	-2	0
0	-16	-28	2	-3	-3	3	0
-2	-53	-31	-3	-2	-7	-4	1
-5	34	36	11	-5	-2	-1	-1
4	36	-40	-7	-3	-7	-2	-1
0	-2	56	0	-4	-4	-3	-3
8	-26	1	3	0	-4	1	-1
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 31
TimeSeriesData: 
2	-7	-20	-40	-4	1	-4	-1
6	-35	7	29	-1	-4	-15	5
1	-14	43	12	0	-1	-3	-5
-6	-46	-45	-13	-6	-4	-5	-5
4	1	2	-1	0	-1	-5	-1
8	9	-10	-7	-2	-4	5	1
-1	-9	-18	-5	-2	1	-1	-1
-2	5	-43	2	-3	-1	0	0
-1	-15	35	-8	-5	-7	-9	-3
0	8	-27	10	0	-4	-7	-2
0	9	-11	12	3	2	-2	0
0	-16	-28	2	-3	-3	3	0
-2	-53	-31	-3	-2	-7	-4	1
-5	34	36	11	-5	-2	-1	-1
4	36	-40	-7	-3	-7	-2	-1
0	-2	56	0	-4	-4	-3	-3
8	-26	1	3	0	-4	1	-1
1	13	-1	2	1	0	-8	0
-3	-15	2	13	4	0	-2	-1
0	-20	30	-9	1	0	0	0
-7	-9	-2	-4	2	-3	-1	-1
2	10	-6	-5	-6	-1	-1	0
5	4	-20	4	1	1	-3	-1
-3	-7	1	-4	-5	-3	-3	-1
1	23	10	5	0	0	-1	-1
0	-18	12	4	2	0	0	-2
-1	8	28	13	-1	2	0	0
3	3	-14	-3	1	-4	-1	0
1	-18	-11	-5	-5	1	-3	-1
-1	14	-18	-2	-3	2	-1	-3
-1	-50	-9	10	-5	-4	-4	-1
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 44
TimeSeriesData: 
2	-7	-20	-40	-4	1	-4	-1
6	-35	7	29	-1	-4	-15	5
1	-14	43	12	0	-1	-3	-5
-6	-46	-45	-13	-6	-4	-5	-5
4	1	2	-1	0	-1	-5	-1
8	9	-10	-7	-2	-4	5	1
-1	-9	-18	-5	-2	1	-1	-1
-2	5	-43	2	-3	-1	0	0
-1	-15	35	-8	-5	-7	-9	-3
0	8	-27	10	0	-4	-7	-2
0	9	-11	12	3	2	-2	0
0	-16	-28	2	-3	-3	3	0
-2	-53	-31	-3	-2	-7	-4	1
-5	34	36	11	-5	-2	-1	-1
4	36	-40	-7	-3	-7	-2	-1
0	-2	56	0	-4	-4	-3	-3
8	-26	1	3	0	-4	1	-1
1	13	-1	2	1	0	-8	0
-3	-15	2	13	4	0	-2	-1
0	-20	30	-9	1	0	0	0
-7	-9	-2	-4	2	-3	-1	-1
2	10	-6	-5	-6	-1	-1	0
5	4	-20	4	1	1	-3	-1
-3	-7	1	-4	-5	-3	-3	-1
1	23	10	5	0	0	-1	-1
0	-18	12	4	2	0	0	-2
-1	8	28	13	-1	2	0	0
3	3	-14	-3	1	-4	-1	0
1	-18	-11	-5	-5	1	-3	-1
-1	14	-18	-2	-3	2	-1	-3
-1	-50	-9	10	-5	-4	-4	-1
0	13	14	-2	-3	-5	0	0
6	50	-24	-5	2	4	3	0
-2	-7	-4	7	-4	-3	-12	-4
3	39	5	-3	-2	-7	-5	-1
-6	-15	-1	-1	-3	-4	-1	-3
-3	11	34	3	-1	-7	-2	0
5	-74	-13	-6	-3	-2	-2	-1
-3	-28	3	8	4	0	-1	-3
0	-16	7	6	-1	0	-1	-1
5	-27	-2	9	4	-4	-3	-1
-1	-17	1	3	5	2	0	0
2	-2	-3	8	3	1	-1	-1
3	-52	-4	-7	-6	-2	-1	-2
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 60
TimeSeriesData: 
2	-7	-20	-40	-4	1	-4	-1
6	-35	7	29	-1	-4	-15	5
1	-14	43	12	0	-1	-3	-5
-6	-46	-45	-13	-6	-4	-5	-5
4	1	2	-1	0	-1	-5	-1
8	9	-10	-7	-2	-4	5	1
-1	-9	-18	-5	-2	1	-1	-1
-2	5	-43	2	-3	-1	0	0
-1	-15	35	-8	-5	-7	-9	-3
0	8	-27	10	0	-4	-7	-2
0	9	-11	12	3	2	-2	0
0	-16	-28	2	-3	-3	3	0
-2	-53	-31	-3	-2	-7	-4	1
-5	34	36	11	-5	-2	-1	-1
4	36	-40	-7	-3	-7	-2	-1
0	-2	56	0	-4	-4	-3	-3
8	-26	1	3	0	-4	1	-1
1	13	-1	2	1	0	-8	0
-3	-15	2	13	4	0	-2	-1
0	-20	30	-9	1	0	0	0
-7	-9	-2	-4	2	-3	-1	-1
2	10	-6	-5	-6	-1	-1	0
5	4	-20	4	1	1	-3	-1
-3	-7	1	-4	-5	-3	-3	-1
1	23	10	5	0	0	-1	-1
0	-18	12	4	2	0	0	-2
-1	8	28	13	-1	2	0	0
3	3	-14	-3	1	-4	-1	0
1	-18	-11	-5	-5	1	-3	-1
-1	14	-18	-2	-3	2	-1	-3
-1	-50	-9	10	-5	-4	-4	-1
0	13	14	-2	-3	-5	0	0
6	50	-24	-5	2	4	3	0
-2	-7	-4	7	-4	-3	-12	-4
3	39	5	-3	-2	-7	-5	-1
-6	-15	-1	-1	-3	-4	-1	-3
-3	11	34	3	-1	-7	-2	0
5	-74	-13	-6	-3	-2	-2	-1
-3	-28	3	8	4	0	-1	-3
0	-16	7	6	-1	0	-1	-1
5	-27	-2	9	4	-4	-3	-1
-1	-17	1	3	5	2	0	0
2	-2	-3	8	3	1	-1	-1
3	-52	-4	-7	-6	-2	-1	-2
-4	-8	-2	-26	-8	-5	-2	-2
-8	-43	-2	10	-1	0	0	-2
-1	43	-18	-12	-3	-2	-1	-1
-1	22	-2	-8	-6	-2	-3	-2
4	25	-54	9	6	1	-2	0
2	-14	-15	-42	-7	-4	-4	-2
2	-94	-4	2	-2	-3	-1	-2
5	-14	21	16	1	0	0	0
0	-2	29	9	0	-1	0	-1
-2	-23	-14	-2	-1	0	0	-1
4	-9	21	12	2	-2	0	-1
-1	-28	-6	1	-5	0	0	-1
-2	-13	-18	-16	-2	-2	-2	-1
-6	-16	0	-19	-3	-4	-3	-2
4	-35	-1	-7	6	1	-1	-2
-8	2	-19	-3	8	4	3	0
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 76
TimeSeriesData: 
2	-7	-20	-40	-4	1	-4	-1
6	-35	7	29	-1	-4	-15	5
1	-14	43	12	0	-1	-3	-5
-6	-46	-45	-13	-6	-4	-5	-5
4	1	2	-1	0	-1	-5	-1
8	9	-10	-7	-2	-4	5	1
-1	-9	-18	-5	-2	1	-1	-1
-2	5	-43	2	-3	-1	0	0
-1	-15	35	-8	-5	-7	-9	-3
0	8	-27	10	0	-4	-7	-2
0	9	-11	12	3	2	-2	0
0	-16	-28	2	-3	-3	3	0
-2	-53	-31	-3	-2	-7	-4	1
-5	34	36	11	-5	-2	-1	-1
4	36	-40	-7	-3	-7	-2	-1
0	-2	56	0	-4	-4	-3	-3
8	-26	1	3	0	-4	1	-1
1	13	-1	2	1	0	-8	0
-3	-15	2	13	4	0	-2	-1
0	-20	30	-9	1	0	0	0
-7	-9	-2	-4	2	-3	-1	-1
2	10	-6	-5	-6	-1	-1	0
5	4	-20	4	1	1	-3	-1
-3	-7	1	-4	-5	-3	-3	-1
1	23	10	5	0	0	-1	-1
0	-18	12	4	2	0	0	-2
-1	8	28	13	-1	2	0	0
3	3	-14	-3	1	-4	-1	0
1	-18	-11	-5	-5	1	-3	-1
-1	14	-18	-2	-3	2	-1	-3
-1	-50	-9	10	-5	-4	-4	-1
0	13	14	-2	-3	-5	0	0
6	50	-24	-5	2	4	3	0
-2	-7	-4	7	-4	-3	-12	-4
3	39	5	-3	-2	-7	-5	-1
-6	-15	-1	-1	-3	-4	-1	-3
-3	11	34	3	-1	-7	-2	0
5	-74	-13	-6	-3	-2	-2	-1
-3	-28	3	8	4	0	-1	-3
0	-16	7	6	-1	0	-1	-1
5	-27	-2	9	4	-4	-3	-1
-1	-17	1	3	5	2	0	0
2	-2	-3	8	3	1	-1	-1
3	-52	-4	-7	-6	-2	-1	-2
-4	-8	-2	-26	-8	-5	-2	-2
-8	-43	-2	10	-1	0	0	-2
-1	43	-18	-12	-3	-2	-1	-1
-1	22	-2	-8	-6	-2	-3	-2
4	25	-54	9	6	1	-2	0
