timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470245334681953,-1,-1,0,12,-1,-1,-1,-1
1470245334681953,-3,11,-8,-3,-3,-3,-1,0
1470245334683454,0,0,34,3,1,1,0,0
1470245334683454,-2,-3,5,0,-5,-3,-1,0
1470245334696466,-1,-4,-7,-1,1,-2,0,-1
1470245334696466,-1,-3,31,-4,-2,0,-1,-1
1470245334702972,-1,0,-22,-8,-4,-1,-1,-2
1470245334702972,-1,-4,-10,1,-3,-1,-2,-2
1470245334719486,0,6,5,-5,-1,-3,-1,-1
1470245334719486,1,0,10,4,1,0,0,0
1470245334720989,2,6,1,-5,-2,1,1,-1
1470245334720989,0,-4,-3,0,1,2,-3,-2
1470245334742007,-1,13,-11,-11,-4,-2,-1,0
1470245334742007,-2,-8,-4,5,0,0,-1,-2
1470245334743508,-2,13,-5,0,-1,-1,-1,-1
1470245334743508,-1,-19,-1,-3,1,0,0,0
1470245334756520,3,28,9,0,-3,-1,1,1
1470245334756520,1,-1,14,6,0,-1,1,-2
1470245334763025,-5,-25,-42,-10,-5,-5,-2,-3
1470245334763025,-2,10,1,7,-1,-2,0,0
1470245334779543,-1,-7,-9,-13,-3,-1,-2,0
1470245334779543,-5,-8,13,2,1,-1,-1,-2
1470245334781042,0,-7,-2,-1,-1,-1,-1,-2
1470245334781042,-2,3,3,-3,-3,-3,-2,-3
1470245334802061,-2,-27,-18,-2,-1,-2,-1,0
1470245334802061,0,11,-25,-8,-3,-2,-2,-1
1470245334803562,1,8,28,9,1,2,-1,0
1470245334803562,0,-2,-5,-4,-2,-2,-1,-2
1470245334816074,-1,-10,10,12,1,-1,1,-1
1470245334816074,0,17,-3,-8,0,0,-1,-1
1470245334823082,-1,0,3,5,0,-1,-1,0
1470245334823082,0,5,16,-5,-3,0,-1,0
1470245334839594,-3,-24,-15,-2,-1,-1,-3,-1
1470245334839594,2,21,-2,-2,0,-3,-2,-1
1470245334841095,1,-2,-16,-4,2,-1,-1,0
1470245334841095,-2,-5,4,7,0,1,-1,-1
1470245334861614,-1,3,-6,-4,-1,-1,0,-1
1470245334861614,-1,-12,-4,-9,-2,1,-2,-1
1470245334863616,-2,7,18,2,-4,-2,-2,-2
1470245334863616,-3,-16,-10,-4,1,-3,-2,-2
1470245334876627,1,-1,-3,2,0,0,1,-2
1470245334876627,-2,-6,-17,3,-2,-3,-3,1
1470245334883134,-2,-1,13,-9,-3,-2,-2,-4
1470245334883134,-2,-1,1,-6,-3,0,-2,-1
1470245334899648,-1,1,1,3,0,-1,-1,0
1470245334899648,-1,9,-3,-3,0,0,0,-3
1470245334901150,-1,-7,-12,-3,-2,-1,0,-1
1470245334901150,0,4,-27,1,3,-1,-2,-1
1470245334922168,-4,-4,9,2,-4,0,-2,-2
1470245334922168,2,9,4,0,0,-1,0,-1
1470245334923670,-5,-10,-14,0,0,-2,0,0
1470245334923670,4,13,16,-3,3,2,-1,-1
1470245334936181,-1,3,-22,-3,0,0,-1,-1
1470245334936181,-2,-14,8,8,-1,0,0,-2
1470245334943187,1,5,12,10,1,1,-1,-1
1470245334943187,2,-6,19,-9,-3,-2,1,0
1470245334959703,-3,9,9,4,-1,-2,-2,-3
1470245334959703,-3,-28,-29,-6,-1,0,-1,-2
1470245334961204,1,7,22,-6,-1,0,-1,-2
1470245334961204,0,-3,-19,2,0,0,-1,0
1470245334982222,2,1,12,-7,-1,-2,-1,-2
1470245334982222,-5,3,3,-1,-3,-2,-2,-2
1470245334983724,0,3,-5,3,-1,0,0,1
1470245334983724,-3,-4,-4,-4,-1,-2,0,-2
1470245334996235,0,0,5,3,1,0,1,-1
1470245334996235,0,-3,-20,-4,1,0,-1,1
1470245335003240,0,-3,19,7,-1,-2,-2,-1
1470245335003240,-5,-1,-14,-9,-4,-1,-1,-1
1470245335019256,-2,-3,8,-4,-2,-2,-2,-1
1470245335019256,-4,-9,-13,-8,-3,-3,-1,-1
1470245335021257,1,5,5,1,0,0,0,0
1470245335021257,-2,-9,-3,-1,-1,-1,-2,-3
1470245335041776,3,-6,18,4,4,3,0,1
1470245335041776,-1,13,2,2,-1,1,-1,0
1470245335043778,-1,-4,-10,-4,-1,-1,-1,-2
1470245335043778,1,14,4,-4,-3,-3,1,0
1470245335055788,-4,-37,-16,-3,-2,-1,-2,1
1470245335055788,0,12,-11,-6,0,-3,0,0
1470245335064798,-3,-11,20,9,-2,-2,-1,-1
1470245335064798,-1,-9,-21,1,-2,-1,-2,0
1470245335079809,0,13,18,-1,-2,0,0,-3
1470245335079809,0,-17,-8,-1,1,1,0,1
1470245335081312,1,22,7,0,-2,-1,0,-2
1470245335081312,-2,-7,16,1,0,-1,-1,-1
1470245335101830,-1,1,-27,2,-1,-1,-1,1
1470245335101830,-1,-10,-1,-3,-2,-2,-3,-5
1470245335103831,-2,-18,-10,-3,0,-1,-1,-1
1470245335103831,0,14,9,3,-3,-1,-2,0
1470245335115843,2,13,1,4,0,-1,-1,0
1470245335115843,-1,-10,-15,-4,-1,0,-1,-1
1470245335124349,-1,4,-2,4,-2,-3,-2,-3
1470245335124349,0,-5,6,-5,-1,0,1,-1
1470245335139363,-3,4,-4,8,-3,-2,-1,-1
1470245335139363,-2,-3,-2,-16,0,-2,-1,1
1470245335140865,0,6,-8,0,-2,-1,-1,0
1470245335140865,-1,0,11,-5,-3,-1,-2,0
1470245335161884,1,-13,-4,0,-2,-1,0,-2
1470245335161884,1,21,12,4,-2,-1,-1,0
1470245335163385,-1,-7,-7,0,2,0,1,1
1470245335163385,-1,-3,-37,-7,0,0,-2,-2
1470245335184403,-3,-6,35,7,-1,-3,-1,0
1470245335184403,1,-4,-6,4,0,-2,0,1
1470245335185906,-1,1,10,-5,-4,0,-2,-1
1470245335185906,-1,-1,-29,-7,0,1,1,0
1470245335199417,-2,3,-9,-4,-2,-1,-3,-1
1470245335199417,-3,-25,29,8,0,-2,-1,-3
1470245335200919,-1,-4,3,1,0,-1,-2,-1
