timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470261484745745,0,0,-3,-8,-7,-2,0,-1
1470261484745745,-2,-2,-4,9,33,3,-2,-2
1470261484747246,-2,1,6,-5,-11,-5,-1,-3
1470261484747246,-1,0,-2,0,-8,2,0,2
1470261484767768,-3,0,-1,-4,8,2,1,-1
1470261484767768,0,0,2,0,-13,-1,-1,1
1470261484769768,-1,-2,-4,2,11,-1,-2,-1
1470261484769768,-1,2,4,-13,-5,-6,-1,0
1470261484782782,-2,-8,-7,7,0,2,0,-1
1470261484782782,-1,-1,14,12,1,-5,-1,-1
1470261484790786,0,-1,-11,-9,1,-6,-2,-2
1470261484790786,-2,-3,2,6,-4,4,-4,-3
1470261484805639,1,1,2,2,4,12,2,2
1470261484805639,1,3,0,-8,-9,2,6,0
1470261484807141,-3,-8,0,-7,3,-2,0,-3
1470261484807141,0,-1,-3,-5,2,2,-1,-1
1470261484828159,0,2,0,-1,-9,-19,-6,-2
1470261484828159,-2,-1,-3,-6,-2,-16,-4,-1
1470261484829661,-1,0,2,9,-24,7,-1,-2
1470261484829661,-4,-4,-6,-24,11,6,2,0
1470261484841672,0,-1,0,0,4,-3,5,1
1470261484841672,-4,-3,-6,-3,-8,6,-4,-3
1470261484850684,-1,-1,-1,3,3,-5,0,0
1470261484850684,0,-3,1,-15,1,-6,-2,-1
1470261484865696,-2,-1,0,21,11,3,-4,-2
1470261484865696,0,0,2,7,-11,-6,-2,-2
1470261484867198,1,-1,-5,-12,13,3,-1,-1
1470261484867198,-1,-1,3,26,-10,-2,-1,-2
1470261484888214,-1,-2,-4,-19,-2,0,-1,-1
1470261484888214,-1,-2,-4,5,3,2,0,0
1470261484889714,-2,-2,1,5,-2,4,-2,0
1470261484889714,0,-1,-3,-12,1,-5,1,-1
1470261484901725,-1,-2,2,7,0,-2,-1,-2
1470261484901725,-1,-2,-2,1,-24,1,-2,-1
1470261484910734,0,0,-3,-10,3,2,0,0
1470261484910734,-2,-1,-4,-3,-8,-7,-2,-1
1470261484925247,-1,-3,2,2,-7,4,-2,-1
1470261484925247,-1,-2,-3,-6,0,4,1,-1
1470261484931753,0,-1,-2,-11,10,-6,-1,0
1470261484931753,-1,-4,-3,12,-7,-1,0,-2
1470261484948270,0,1,2,16,-3,-1,0,0
1470261484948270,-1,-2,-7,-24,26,1,-1,0
1470261484949771,0,2,2,-2,-31,-4,-2,-3
1470261484949771,-4,-2,-5,-13,-1,0,-1,-4
1470261484970788,0,-4,-4,-9,-29,-6,-1,-1
1470261484970788,0,0,-9,-23,11,-1,-3,-1
1470261484972289,-4,-1,5,16,-12,-2,-2,-1
1470261484972289,-1,-1,-1,12,-5,-4,-3,-2
1470261484985301,-3,-2,0,-12,26,4,0,-2
1470261484985301,-2,-2,-6,17,-38,-6,-2,-2
1470261484987302,2,1,-4,-12,-4,-8,-1,0
1470261484987302,4,3,4,-13,-10,0,1,-3
1470261485007820,-6,-5,0,-4,-4,-4,-3,-2
1470261485007820,0,0,1,7,6,2,-1,-2
1470261485009822,-6,1,2,2,13,3,1,0
1470261485009822,0,-2,-7,-20,-15,-4,0,-2
1470261485021834,-1,0,3,31,25,1,1,-2
1470261485021834,2,3,0,-11,-1,6,0,0
1470261485030341,-6,-7,1,14,-4,-5,-5,-6
1470261485030341,6,1,2,-6,-7,-1,0,1
1470261485045355,-17,-8,-16,-11,0,8,0,-7
1470261485045355,4,1,0,16,2,-4,-4,-4
1470261485046856,-19,-27,0,-28,2,-2,-3,-6
1470261485046856,6,3,-25,1,5,-1,1,1
1470261485067877,-13,-20,8,24,7,-3,-4,-2
1470261485067877,8,15,27,-19,-10,2,0,3
1470261485069377,33,18,-14,-14,-20,-3,2,-2
1470261485069377,-26,-27,-21,32,57,11,-3,-8
1470261485081889,13,13,2,-5,-35,-8,-3,-1
1470261485081889,-3,-4,-13,4,2,-1,1,0
1470261485090395,5,17,34,-14,-1,0,0,5
1470261485090395,7,0,-5,4,-2,1,1,3
1470261485105409,5,0,-3,9,17,-1,-2,0
1470261485105409,-8,-10,5,-4,-16,-6,-2,-6
1470261485106910,-6,0,-9,-4,1,4,1,0
1470261485106910,4,5,9,-4,18,-2,-1,-1
1470261485127929,-4,1,8,9,-8,-1,-2,1
1470261485127929,-1,-3,-1,-4,0,1,-1,2
1470261485129431,-6,-7,-12,7,2,1,0,0
1470261485129431,-1,1,5,1,-7,0,-4,-2
1470261485141941,6,3,-1,-24,-11,-3,1,2
1470261485141941,-5,-5,-8,2,9,1,-3,3
1470261485150452,1,-2,-3,14,5,0,2,-6
1470261485150452,-3,2,11,-3,-16,-7,-7,-4
1470261485164963,2,2,-5,-19,-9,-2,1,-1
1470261485164963,-4,-2,-3,13,11,4,-3,1
1470261485171468,-5,-3,-4,-1,7,-3,-7,0
1470261485171468,0,5,7,-1,-2,1,1,0
1470261485187984,-2,-1,-9,-19,-8,-2,-6,1
1470261485187984,-2,-2,1,17,9,-2,7,1
1470261485189484,-1,-2,-2,10,-20,-2,3,-2
1470261485189484,-1,-2,0,-7,-10,-7,-2,1
1470261485210503,2,0,2,11,7,4,-4,-5
1470261485210503,-3,-3,-4,-20,-8,-2,-14,-5
1470261485212006,-4,-1,-6,-7,9,-3,3,-4
1470261485212006,1,-1,3,11,-16,-2,5,2
1470261485224015,-1,0,-4,-14,-4,-5,-9,-1
1470261485224015,-1,1,0,1,-1,-3,1,-3
1470261485233026,-2,1,-2,7,12,4,13,1
1470261485233026,-3,-1,-1,-6,1,-1,-4,0
1470261485248039,2,4,4,10,-2,-1,3,0
1470261485248039,-3,-1,2,18,-3,-1,0,-1
1470261485249542,0,-3,-6,-13,-2,-1,-9,1
1470261485249542,-1,0,4,7,-4,-2,-6,1
1470261485270557,-1,0,-3,-1,-4,-1,5,-3
1470261485270557,-4,-4,-6,-6,0,-6,-1,-2
1470261485272058,-2,-4,-3,4,24,4,-2,2
1470261485272058,-1,0,1,-36,-18,-1,-6,-5
1470261485284575,0,1,4,32,4,0,4,0
1470261485284575,1,0,-1,-7,6,3,2,1
1470261485291576,-5,-2,-1,5,0,-3,-11,-4
1470261485291576,-2,-3,-4,-1,6,2,7,-1
1470261485308091,-1,0,-3,-13,5,-4,7,1
1470261485308091,1,-2,-1,-9,-3,-1,3,1
1470261485309592,1,-1,2,25,-10,0,-5,-3
1470261485309592,0,1,0,-11,8,-1,-2,1
1470261485331615,-1,-1,-1,-22,-22,-3,-1,0
1470261485331615,-1,-1,0,7,6,7,-3,-1
1470261485332616,-1,-1,0,-7,-24,-2,3,1
1470261485332616,-1,-1,0,15,11,-6,1,-1
1470261485344123,0,-1,-5,-16,17,13,1,1
1470261485344123,-1,-3,-4,-23,-2,-3,-2,-1
1470261485353131,1,-1,1,7,8,-1,0,0
1470261485353131,-1,-2,1,12,9,4,2,-1
1470261485368144,-2,-1,-2,-2,-12,0,-6,-4
1470261485368144,-1,-1,0,0,-6,1,0,0
1470261485369647,-2,0,-4,-4,17,-3,-3,-1
1470261485369647,0,0,1,6,-1,-4,-1,-1
1470261485390664,-2,-1,-4,-13,-4,-3,-4,-1
1470261485390664,1,0,3,23,-15,1,-2,1
1470261485392167,0,0,-2,-14,-1,-2,0,-2
1470261485392167,0,-2,-1,-4,-4,-3,0,-2
1470261485404177,0,-1,-1,-9,15,-6,-3,0
1470261485404177,-1,-3,-5,-9,19,-2,-2,-3
1470261485413186,-2,-2,1,12,-18,-2,-1,1
1470261485413186,-1,0,0,7,-1,4,0,-1
1470261485428198,-1,-1,-1,3,-1,1,-2,-2
1470261485428198,-1,-1,-3,-4,22,-4,-1,-4
1470261485429700,0,-2,-4,-16,-3,0,-1,1
1470261485429700,-1,-1,2,0,-3,-1,-2,-1
1470261485450719,-2,-3,-3,7,-5,-5,-1,-1
1470261485450719,-1,0,-4,-9,-17,-2,3,1
1470261485452220,-2,-3,0,-2,3,-2,-1,-1
1470261485452220,-2,-1,-3,2,-1,5,0,-1
1470261485464230,-3,0,-2,1,5,-2,-2,-2
1470261485464230,-1,-3,-2,-2,-16,-5,3,0
1470261485473239,-1,0,-1,-1,13,5,-1,-2
1470261485473239,-1,0,1,4,-2,-6,-1,-2
1470261485487752,0,0,0,-3,-9,-3,-4,-1
1470261485487752,-1,-3,-4,0,-1,1,0,-1
1470261485489753,-1,0,-3,-4,3,-8,1,-1
1470261485489753,-1,1,2,2,-5,8,0,1
1470261485510273,-1,-2,-1,-2,-7,-3,1,-1
1470261485510273,-2,3,2,1,-1,-5,-6,-4
1470261485512274,-3,-3,-2,-8,-2,-3,-3,-3
1470261485512274,-3,-6,-5,4,-8,-1,2,0
1470261485524284,-1,-2,3,4,1,8,0,1
1470261485524284,-2,0,-3,-1,1,5,1,0
