timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470344759340839,-3,-5,-30,-28,-1,3,3,0
1470344759340839,2,-5,4,-3,-2,-3,-3,-2
1470344759341841,-3,9,14,33,0,-1,-4,0
1470344759341841,-1,-7,9,-24,-4,-2,-8,-1
1470344759362859,-1,-2,13,-2,-6,-3,1,-3
1470344759362859,-2,-4,10,5,-1,-1,-1,1
1470344759363861,-1,-5,-25,-25,-3,-6,-3,-1
1470344759363861,-5,-10,-34,1,1,3,-2,-3
1470344759377874,1,1,-9,-2,4,1,0,2
1470344759377874,-3,3,12,-2,-2,-1,-5,-3
1470344759378874,3,12,4,2,0,1,0,0
1470344759378874,-2,12,17,13,-1,-3,0,0
1470344759399893,3,-11,-13,-9,-3,-1,-10,-1
1470344759399893,-12,6,5,3,-1,-3,0,6
1470344759401895,4,-11,9,2,3,7,11,-1
1470344759401895,-3,0,-14,-2,-3,0,1,-5
1470344759414409,1,-3,0,1,0,-1,2,1
1470344759414409,2,-5,-8,1,-2,-4,0,-3
1470344759423424,-4,-10,-14,-9,-2,0,-10,1
1470344759423424,-2,0,-1,2,-1,0,9,-1
1470344759437436,-3,-1,-6,0,-2,-2,-12,-6
1470344759437436,0,-7,-6,-2,-2,-1,0,0
1470344759439438,-1,4,-12,-14,-3,-5,-1,-1
1470344759439438,1,-1,-1,-5,-1,2,5,-1
1470344759460457,0,11,-4,9,-2,-3,-4,-1
1470344759460457,-1,-15,0,5,0,-1,-1,-5
1470344759461459,-2,-1,-3,0,-3,-1,0,2
1470344759461459,2,2,7,-1,4,-1,-14,-2
1470344759474471,1,-6,-4,-4,-4,-3,5,6
1470344759474471,-1,-3,-5,-8,-3,-3,2,-1
1470344759482477,-4,5,-6,1,-1,-2,-5,-5
1470344759482477,0,-1,9,4,-2,-2,2,4
1470344759497490,1,6,-4,0,-2,-3,-3,-2
1470344759497490,1,-34,-23,1,-1,-5,-7,-4
1470344759504496,-5,27,2,-1,0,6,38,7
1470344759504496,8,-6,-12,-1,-1,-1,-34,3
1470344759520515,3,-19,-16,-8,1,2,10,0
1470344759520515,-12,44,7,0,-3,-4,8,-3
1470344759522017,16,-15,-4,-2,0,-5,-9,0
1470344759522017,-24,-5,2,2,1,9,31,10
1470344759534028,-3,-13,0,-2,-2,-4,-24,-3
1470344759534028,9,-1,23,14,2,0,-10,-3
1470344759543036,-5,-2,-11,-11,-4,-3,1,-5
1470344759543036,4,4,-9,-11,-2,-4,-2,-5
1470344759558050,-3,4,2,18,-3,-1,-4,-3
