timestamp,x,y,z,w
1470261436221018,-0.240417,0.394104,0.813354,-0.354004
1470261436241036,-0.240295,0.39447,0.813232,-0.353943
1470261436263559,-0.240234,0.394714,0.81311,-0.353943
1470261436281076,-0.23999,0.394836,0.81311,-0.354065
1470261436301090,-0.239929,0.39502,0.812988,-0.354126
1470261436326112,-0.239868,0.395203,0.812866,-0.354248
1470261436341126,-0.239807,0.395203,0.812866,-0.354248
1470261436361144,-0.239807,0.395203,0.812866,-0.354248
1470261436383664,-0.239807,0.395203,0.812866,-0.354248
1470261436405684,-0.239807,0.395203,0.812866,-0.354248
1470261436422699,-0.239746,0.395203,0.812866,-0.354309
1470261436443717,-0.239746,0.395203,0.812866,-0.354248
1470261436461234,-0.239746,0.395203,0.812866,-0.354309
1470261436482253,-0.239746,0.395142,0.812927,-0.354309
1470261436503271,-0.239746,0.395142,0.812927,-0.354309
1470261436521290,-0.239746,0.395142,0.812927,-0.354309
1470261436542306,-0.239746,0.395142,0.812927,-0.354309
1470261436566328,-0.239746,0.395142,0.812927,-0.354309
1470261436581345,-0.239746,0.395142,0.812927,-0.354309
1470261436602362,-0.239746,0.395142,0.812927,-0.354309
1470261436623380,-0.239746,0.395142,0.812927,-0.354309
1470261436641396,-0.239746,0.395142,0.812927,-0.354309
1470261436662418,-0.239746,0.395142,0.812927,-0.354309
1470261436684935,-0.239746,0.395142,0.812927,-0.354309
1470261436701449,-0.239746,0.395142,0.812927,-0.354309
1470261436722469,-0.239746,0.395142,0.812927,-0.354309
1470261436743488,-0.239746,0.395142,0.812927,-0.354309
1470261436761503,-0.239746,0.395142,0.812927,-0.354309
1470261436784024,-0.239685,0.395081,0.812927,-0.354309
1470261436811047,-0.239685,0.395081,0.812927,-0.354309
1470261436821557,-0.239685,0.395081,0.812927,-0.354309
1470261436844077,-0.239685,0.395081,0.812927,-0.354309
1470261436863597,-0.239685,0.395081,0.812927,-0.354309
1470261436881113,-0.239685,0.395081,0.812927,-0.354309
1470261436903631,-0.239685,0.395081,0.812927,-0.354309
1470261436923649,-0.239685,0.395081,0.812988,-0.354309
1470261436943167,-0.239746,0.39502,0.812988,-0.354309
1470261436963687,-0.239746,0.39502,0.812988,-0.354309
1470261436983702,-0.239746,0.39502,0.812988,-0.354309
1470261437008225,-0.239746,0.39502,0.812988,-0.354309
1470261437023739,-0.239746,0.39502,0.812988,-0.354309
1470261437044257,-0.239746,0.39502,0.812988,-0.354309
1470261437060273,-0.239746,0.394958,0.812988,-0.354309
1470261437082792,-0.239746,0.394958,0.812988,-0.354309
1470261437104311,-0.239746,0.394958,0.812988,-0.354309
1470261437120325,-0.239746,0.394958,0.812988,-0.354248
1470261437142846,-0.239746,0.394958,0.812988,-0.354248
1470261437163871,-0.239746,0.394958,0.812988,-0.354248
1470261437180882,-0.239746,0.394958,0.812988,-0.354248
