timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470263018294984,-12,-36,-1,-3,-5,-2,0,-1
1470263018294984,-1,-34,-1,1,3,-1,-1,-1
1470263018296485,-13,1,-2,-4,-5,-3,-11,-5
1470263018296485,0,18,0,0,1,0,7,0
1470263018317505,0,30,-4,0,2,0,-9,-1
1470263018317505,3,21,-5,-8,-5,-6,-5,-6
1470263018319006,6,16,0,0,2,-1,0,-1
1470263018319006,8,13,1,0,1,-1,-9,0
1470263018331017,3,8,1,-4,-4,-1,3,1
1470263018331017,2,2,-1,3,1,-1,-2,-2
1470263018340025,-5,-6,-8,-7,-3,1,-1,0
1470263018340025,2,-3,2,3,3,1,-2,-1
1470263018362544,-3,-8,0,-8,-6,-2,13,-2
1470263018362544,1,1,7,12,14,8,-2,2
1470263018364046,-3,-4,-6,1,-7,-5,0,-1
1470263018364046,0,-5,-4,-5,-4,-2,0,-1
1470263018377558,4,-2,0,1,-4,-2,-2,2
1470263018377558,-2,-7,-3,-4,-5,-3,2,-1
1470263018379060,-6,3,-1,-1,4,0,3,-1
1470263018379060,-1,0,9,3,-1,-2,-4,0
1470263018391071,-1,-7,-5,-1,0,-2,-8,-2
1470263018391071,3,9,-1,-3,-3,2,16,4
1470263018400079,-3,-9,-6,-10,-3,-2,-8,-5
1470263018400079,1,-5,-5,3,-2,1,0,3
1470263018415092,-6,-1,0,-3,-3,-4,-4,-6
1470263018415092,-3,-26,-1,-1,-2,-5,-8,-3
1470263018416594,1,3,9,2,-2,1,9,2
1470263018416594,-3,7,-4,0,1,0,-2,-1
1470263018437612,2,5,-5,0,-7,0,0,2
1470263018437612,0,10,-1,-5,-1,-1,-3,-3
1470263018439114,-2,-5,-1,5,-1,-2,-6,0
1470263018439114,1,3,2,-7,0,-4,4,-1
1470263018451125,-3,-8,-5,3,3,-1,-5,0
1470263018451125,1,-3,-1,-11,-8,0,1,0
1470263018467638,-2,-6,-1,12,7,5,7,1
1470263018467638,-2,-4,-7,-1,-2,-3,-5,-6
1470263018475146,7,0,-1,-4,0,0,0,0
1470263018475146,-3,-1,-9,0,-1,1,-5,-3
1470263018476648,1,5,0,-2,1,0,-2,-1
1470263018476648,6,-2,3,3,-5,0,2,0
1470263018497666,-1,7,2,2,2,-1,-4,1
1470263018497666,-5,10,10,6,-1,-1,-4,1
1470263018499167,-12,13,-5,-9,-4,-4,1,-5
1470263018499167,12,4,-6,-3,-4,0,1,1
1470263018511178,16,-1,8,1,-4,3,0,0
1470263018511178,-1,-10,-5,-1,9,2,-2,0
1470263018520187,-18,-12,1,3,-3,-1,3,2
1470263018520187,-26,-4,-3,-9,4,-1,-4,-2
1470263018534700,-15,-9,-2,-2,-5,1,3,-2
1470263018534700,0,5,10,11,9,3,5,2
1470263018536701,-6,-1,-4,3,-8,-4,-9,-3
1470263018536701,2,8,-1,3,-1,2,6,1
1470263018557220,-2,7,-4,-2,1,-4,-10,-6
1470263018557220,10,0,-4,-4,-6,-1,10,-1
1470263018558722,10,-5,-1,-2,2,-3,-3,2
1470263018558722,3,-13,2,-3,-3,-5,-6,-4
1470263018571232,1,-3,2,-1,3,2,3,2
1470263018571232,-4,-9,-4,-2,-8,-7,-7,-4
1470263018580241,1,-5,0,-8,-3,-3,-4,0
1470263018580241,0,0,1,8,-1,-1,1,-1
1470263018594755,-4,-4,-2,-2,1,0,1,-5
1470263018594755,-2,2,-3,8,5,3,2,2
1470263018596255,1,-5,-1,-11,-6,-2,-2,-2
1470263018596255,2,0,-1,8,9,2,3,1
1470263018617275,-2,3,1,-2,-6,0,4,-1
1470263018617275,-4,-5,-9,0,1,-1,-4,-2
1470263018618775,0,1,7,-2,3,4,0,-2
1470263018618775,-3,0,0,-5,-3,-4,-7,-5
1470263018631286,-2,-4,-3,-1,0,-1,7,-3
1470263018631286,-3,-1,2,-4,-5,-4,1,1
1470263018640294,2,-5,-3,7,1,-2,-7,-3
1470263018640294,-4,-3,-4,-6,-3,3,11,2
1470263018654807,1,0,-1,0,3,-3,-9,1
1470263018654807,-3,0,-3,-6,-11,-3,-4,-3
1470263018656309,1,-1,-5,1,0,0,3,3
1470263018656309,-1,-1,-1,-6,-7,-5,-7,-5
1470263018677328,-3,2,1,4,-4,-1,0,1
1470263018677328,0,0,3,-7,-2,-1,-2,-2
1470263018678829,1,-4,-4,-6,-3,-2,-1,-1
1470263018678829,3,-7,-6,3,0,0,-2,2
1470263018699847,1,2,-1,2,8,1,-2,-1
1470263018699847,-2,-1,-1,-2,-5,-2,2,3
1470263018701349,-2,2,2,-8,0,-3,-1,-1
1470263018701349,-3,-1,-7,-5,-1,-2,-1,-4
1470263018714860,0,0,3,2,-4,0,-1,0
1470263018714860,0,0,2,-4,-2,0,-4,-2
1470263018716362,2,5,4,9,2,2,3,0
1470263018716362,-1,-2,2,-3,-1,-2,-1,0
1470263018736381,-6,-4,-1,-7,-6,-3,-2,-3
1470263018736381,0,-4,-2,2,5,0,0,-3
1470263018744888,0,-1,1,0,-7,0,-2,0
1470263018744888,1,3,-1,-4,1,0,-1,-1
1470263018759902,-1,-3,-4,-2,2,-6,-9,-5
1470263018759902,-1,1,2,0,-2,-1,-2,-1
1470263018761403,-1,0,-6,2,0,-2,-4,-2
1470263018761403,-3,0,4,6,0,-3,-5,-3
1470263018774914,3,3,0,2,-1,0,5,2
1470263018774914,-1,1,-2,-2,-4,-2,0,-2
1470263018776417,-4,-7,-5,-10,-2,-2,2,-6
1470263018776417,-2,-1,0,7,-2,0,-2,2
1470263018797435,-3,-1,0,4,3,3,2,1
1470263018797435,3,1,6,1,-2,1,2,3
1470263018798937,0,-1,-4,-3,0,-2,1,-5
1470263018798937,-4,1,-2,-8,-7,-4,-4,-3
1470263018819955,0,0,1,3,3,-2,1,0
1470263018819955,-1,-1,-6,-8,-3,0,-4,-4
1470263018821457,-1,2,3,7,-1,1,0,2
1470263018821457,1,-5,-2,-11,2,0,3,1
1470263018834969,-7,-8,-7,-4,-6,-4,-7,-6
1470263018834969,-2,-1,-7,-1,0,3,0,-1
1470263018836471,2,3,5,-3,-6,-4,-2,-1
1470263018836471,1,1,2,9,-1,-1,7,2
1470263018857489,0,-5,0,-8,-3,-3,-6,0
1470263018857489,3,-4,2,-3,-8,-6,-1,-3
1470263018858991,7,-4,-3,6,9,4,2,-1
1470263018858991,12,-3,0,-6,-8,-3,-5,-3
1470263018880009,26,3,-1,1,-3,0,6,4
1470263018880009,45,2,3,5,4,-1,-5,-1
1470263018881511,4,-3,-1,-8,-5,-2,-1,-1
1470263018881511,-21,1,0,0,-1,0,0,-1
1470263018894523,-48,-2,-3,4,-2,-1,1,1
1470263018894523,-55,-2,-2,-3,5,-2,-5,-1
1470263018901028,-25,1,-1,0,-2,-2,-5,-1
1470263018901028,-18,1,-4,-12,0,2,-2,-2
1470263018917542,-7,-3,2,3,-4,0,-3,1
1470263018917542,9,-2,0,1,-2,-2,5,0
1470263018919044,8,0,-2,2,-1,-1,-6,-1
1470263018919044,11,-3,1,-3,3,1,-2,-2
1470263018940063,11,0,-2,-4,2,-2,-3,-2
1470263018940063,5,2,4,2,-4,2,3,0
1470263018941565,3,-2,-5,3,-1,-4,-6,-1
1470263018941565,12,-3,-4,-1,-4,-1,8,1
1470263018954078,4,-3,1,-3,-1,-2,-6,-5
1470263018954078,-1,-2,1,-1,0,-1,-2,-1
1470263018961082,0,-5,-1,-3,-5,0,0,1
1470263018961082,-4,-2,-3,0,1,-4,-7,-3
1470263018977597,3,1,1,-5,-2,4,4,-1
1470263018977597,-12,0,-2,2,-3,-3,-1,-4
1470263018979100,-5,-5,-3,-12,0,-3,1,-4
1470263018979100,4,9,1,10,-1,1,-3,0
1470263019000118,-2,15,-1,-2,4,1,2,2
1470263019000118,-6,-12,-5,-7,-3,-2,-5,-3
1470263019001619,-5,-10,-1,2,1,-3,-9,0
1470263019001619,-14,-11,-3,-2,-1,-1,0,-2
1470263019014130,-2,-9,1,-7,-3,-1,-2,0
1470263019014130,-9,-8,-2,2,-2,-4,-5,-3
1470263019021136,-5,-1,-1,-6,0,2,2,-2
1470263019021136,-4,0,0,2,1,1,1,0
1470263019037151,0,5,-3,-2,-6,0,-2,-2
1470263019037151,4,10,3,-2,3,0,0,3
1470263019039152,2,-2,-3,2,-2,-1,1,-1
1470263019039152,3,-1,-3,1,-1,-1,-1,-2
1470263019059671,8,2,0,-4,0,-1,2,1
1470263019059671,6,-2,-2,4,-4,-4,3,-1
1470263019061673,5,2,1,5,-2,0,0,-1
1470263019061673,3,0,0,-3,0,-1,-2,-3
1470263019074185,0,-1,-1,3,3,-1,0,1
1470263019074185,-1,0,-1,6,1,-1,0,0
1470263019081190,-1,2,-1,-18,-2,-1,2,-2
1470263019081190,-1,-1,-5,8,-4,-1,-2,-4
1470263019097705,-4,-6,-1,-4,-1,-1,-3,-3
1470263019097705,0,1,-2,-8,-2,-2,-4,-1
1470263019099206,0,3,-1,4,-2,3,2,-1
1470263019099206,1,-1,2,-1,2,3,-1,1
1470263019119725,1,1,-1,5,-1,0,0,-2
1470263019119725,-3,0,-1,-4,-5,-3,-6,-4
1470263019121727,-2,-3,-1,2,-2,-3,0,0
1470263019121727,-2,0,2,-2,-2,-3,6,-1
1470263019134239,-2,-3,-5,0,-2,-3,-3,-1
1470263019134239,3,3,0,2,3,2,3,1
1470263019141244,-3,-1,-1,0,-5,-1,-1,0
1470263019141244,0,-3,0,-3,-1,-2,-3,-1
1470263019157759,3,1,8,10,1,-1,0,-1
1470263019157759,-2,-4,-6,-7,-2,-1,1,-2
1470263019159260,0,3,4,8,0,1,1,0
1470263019159260,-5,-5,-6,-9,0,-4,-6,-1
1470263019179778,0,-3,-1,0,1,1,2,3
1470263019179778,-2,-1,-1,1,4,-1,-2,-1
1470263019181280,-3,-3,-2,-3,-2,-3,-5,-6
1470263019181280,-1,1,4,5,3,3,3,3
1470263019193291,-1,-4,-1,-4,-4,-6,-2,-1
1470263019193291,-3,0,0,2,-2,-4,1,-2
1470263019202299,3,1,0,7,0,-1,1,-1
1470263019202299,-1,2,-5,-11,-5,-1,-2,0
1470263019217312,2,-1,4,2,1,-1,0,-1
1470263019217312,-2,-3,-4,-4,-2,-1,-4,-3
1470263019218814,-4,-3,-4,-6,-1,-1,-1,3
1470263019218814,-1,-1,0,-1,-1,0,2,2
1470263019239833,-1,-7,-6,-7,-1,-4,-5,-2
1470263019239833,1,-1,1,10,-2,3,2,0
1470263019241334,-5,-5,0,-11,-2,0,-2,-2
1470263019241334,0,-4,-6,0,-1,-2,-5,-4
1470263019253344,0,2,2,-2,0,2,0,-1
1470263019253344,-2,-2,-6,0,-1,0,0,0
1470263019262353,-3,-2,-4,1,2,-1,1,0
1470263019262353,-2,-3,-2,-3,-4,-3,-1,-1
1470263019277371,-2,-5,0,0,-2,0,0,-2
1470263019277371,-3,-2,1,-1,0,-1,-4,-2
1470263019278868,-2,-4,-7,-1,-3,-2,-5,-2
1470263019278868,0,3,1,5,5,4,3,2
1470263019299887,-2,-3,-5,1,1,-2,-1,-4
1470263019299887,-3,-4,-3,-9,-3,-2,-1,-4
1470263019301388,-1,1,-3,0,-4,-5,-1,-1
1470263019301388,-2,-2,-1,-2,-2,-4,-3,0
1470263019313398,1,-1,-2,-4,-2,0,0,0
1470263019313398,-2,1,1,1,1,-1,-1,-1
1470263019322407,-3,-2,-2,-1,1,2,-2,-2
1470263019322407,2,-1,1,4,-1,-2,-2,3
1470263019337420,-3,-2,-2,-2,-2,-4,-6,-2
1470263019337420,2,1,3,3,-3,1,1,3
1470263019338922,-2,-4,-3,-9,0,1,0,-1
1470263019338922,0,-3,-5,-5,-3,-3,-4,-1
1470263019358940,-3,0,1,3,-1,-1,-3,1
1470263019358940,0,-1,-1,-10,-3,-3,-1,-1
1470263019367447,-1,-2,0,10,9,3,2,-1
1470263019367447,-1,-3,-2,-4,-11,-3,-4,-3
1470263019373956,0,-2,-7,-5,4,0,2,-2
1470263019373956,-3,-1,-1,3,-3,-1,0,0
1470263019382460,-2,2,1,-3,-3,-1,-4,-3
1470263019382460,0,0,1,1,6,0,4,-2
1470263019397474,0,1,-3,1,-5,2,-2,-2
1470263019397474,-5,-3,-6,-5,-2,0,-3,-1
1470263019398976,0,1,-3,-2,-1,-4,-1,0
1470263019398976,0,-2,4,-2,-4,0,-2,0
1470263019419994,-2,-1,-5,-2,-1,0,1,3
1470263019419994,-1,-1,1,5,1,0,0,-1
1470263019421496,-1,-1,-1,-6,-4,-1,0,-1
1470263019421496,2,0,3,2,-2,0,0,-1
1470263019433507,-3,-5,0,-2,2,-4,-4,-3
1470263019433507,1,-3,-8,1,0,-2,1,3
1470263019442514,0,0,3,0,-1,-3,1,-1
1470263019442514,-6,-4,-7,-3,-1,-3,-6,-2
1470263019457528,-1,1,-2,0,-4,0,1,-2
1470263019457528,0,-1,1,3,5,0,2,-1
1470263019459029,2,1,0,2,-3,-1,1,-1
1470263019459029,-3,-1,0,-1,0,-2,-4,-3
1470263019480048,0,-1,1,-2,1,0,0,-1
1470263019480048,2,3,2,2,1,3,1,-2
1470263019481549,-1,-2,-2,1,-4,-4,-2,-2
1470263019481549,0,-1,0,-3,-4,1,3,2
1470263019493560,-3,-1,-1,2,-3,-1,1,0
1470263019493560,-2,-6,-4,-7,-5,-3,-4,-3
1470263019502569,1,5,5,4,4,3,-2,3
1470263019502569,0,1,1,7,1,0,0,0
1470263019516581,1,2,1,-9,-5,-1,4,-1
1470263019516581,-3,0,-4,-1,-8,-2,-7,-2
1470263019517582,-1,-2,-2,6,11,4,-1,-1
1470263019517582,2,0,3,5,0,-2,1,0
1470263019539601,-3,-5,-4,-4,-2,0,-4,-2
1470263019539601,2,-1,4,1,-1,0,3,0
1470263019540107,-4,-4,-1,-3,-5,-4,-1,-1
1470263019540107,-2,-4,-1,-3,0,-2,-4,-3
1470263019561622,2,5,-2,6,2,-1,-1,0
1470263019561622,-1,-1,4,-6,-2,-2,1,0
1470263019562622,1,0,-4,-1,-5,-1,0,1
1470263019562622,-3,-2,0,-3,3,-1,0,-1
1470263019576635,-2,-2,-3,-4,-3,-2,-4,-2
1470263019576635,0,-1,-4,-2,0,0,-2,1
1470263019577636,-3,-3,0,1,-3,-4,-4,-5
1470263019577636,2,-3,-3,-5,0,2,4,-1
1470263019599156,-2,-1,1,1,-5,-3,-1,-4
1470263019599156,-4,-5,-7,-5,-6,-5,-5,-5
1470263019600155,1,3,4,-2,2,4,2,1
1470263019600155,-2,-2,-4,-2,-7,-1,-3,-3
1470263019621675,-3,-2,-1,-4,-1,-2,2,1
1470263019621675,-5,-1,-4,3,0,-6,-6,-4
1470263019622676,-2,-6,-4,-14,-11,0,-1,-1
1470263019622676,-1,-3,-1,5,5,-2,-3,0
1470263019636688,-1,-3,-5,-4,0,1,-2,-1
1470263019636688,2,3,4,2,-2,1,1,2
1470263019637689,-2,0,-1,-1,1,-2,0,0
1470263019637689,-3,-1,-3,-5,-2,-3,-3,-5
1470263019659208,2,3,4,9,2,-2,1,0
1470263019659208,-2,-1,-4,-4,-4,0,-1,0
1470263019659710,-2,-5,-2,6,-1,-2,-3,-2
1470263019659710,-2,-3,-3,-13,-4,-3,-3,0
1470263019681729,-3,-2,0,4,0,-2,-2,0
1470263019681729,3,5,-1,-4,-1,-1,2,1
1470263019682229,-3,2,-4,-4,6,1,-2,-1
1470263019682229,1,4,6,7,-4,1,2,1
1470263019696743,-1,-1,-5,-3,-2,1,-1,-1
1470263019696743,-3,-2,0,1,3,-2,-3,-2
1470263019697243,1,2,1,-1,2,-1,1,1
1470263019697243,0,1,-4,4,-1,0,0,1
1470263019719262,-4,-3,-3,-6,-2,1,-2,0
1470263019719262,-1,-2,1,6,2,-3,-2,-3
1470263019720264,0,-2,-4,-4,-4,0,-2,-2
1470263019720264,1,-1,0,-5,1,2,2,0
1470263019741783,-1,-3,3,-1,1,-2,-3,-2
1470263019741783,-1,0,-4,-6,-4,-4,-2,0
