timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470336932764749,-1,2,-4,5,0,0,-3,0
1470336932764749,2,2,-3,-4,2,-1,-1,-2
1470336932765750,-2,4,13,2,-2,-1,-3,-1
1470336932765750,1,-3,0,-1,0,0,-1,1
1470336932779262,0,-1,-5,-4,0,2,-2,0
1470336932779262,-1,-1,-4,-10,-1,0,2,0
1470336932787269,3,2,-5,-1,1,-1,-2,-2
1470336932787269,-3,-3,4,2,1,-4,-1,-1
1470336932802283,-5,-3,0,-2,-4,-4,-1,-1
1470336932802283,-1,1,0,5,-2,-2,-4,-1
1470336932803284,0,-3,-4,-2,-2,-2,-2,-1
1470336932803284,-6,-1,-4,-3,-5,1,-2,-3
1470336932824803,1,1,-3,-1,2,-2,1,-3
1470336932824803,-2,-2,-2,0,-4,-2,-3,1
1470336932825804,-4,-3,-2,1,-1,-1,1,0
1470336932825804,-2,0,-3,4,5,0,-2,0
1470336932847823,1,-2,7,-2,1,2,0,-1
1470336932847823,-4,1,-12,-3,-2,2,2,1
1470336932848824,-1,1,11,-1,0,-2,-3,1
1470336932848824,0,-3,2,1,-3,-3,-1,-1
1470336932862336,-1,2,-8,2,2,-3,-1,-2
1470336932862336,0,-1,-3,-2,-3,-3,-2,0
1470336932862837,-2,-5,-15,-7,-8,0,0,2
1470336932862837,4,2,15,5,5,-1,-4,-1
1470336932884857,-2,-2,2,-8,-5,-3,-1,-2
1470336932884857,3,-3,-9,5,-4,-1,-1,-1
1470336932885357,-1,1,-8,-2,3,1,-1,-2
1470336932885357,-1,-6,8,-1,-4,-3,0,1
1470336932898870,-3,-1,-8,4,2,2,-1,1
1470336932898870,-2,0,9,-4,-3,-2,-1,0
1470336932907377,-2,-1,-10,2,0,-2,-2,-3
1470336932907377,-1,3,8,-8,-3,1,-1,0
1470336932922391,-4,-5,-1,-11,0,0,-2,-1
1470336932922391,1,-1,-3,5,1,-2,1,0
1470336932922891,-2,1,13,0,-1,0,-2,0
1470336932922891,4,4,-1,4,-8,-5,0,0
1470336932944411,0,-7,-20,-19,-5,-1,-1,-1
1470336932944411,2,-2,10,11,4,-2,-1,-2
1470336932952417,-2,0,-17,-8,-5,-4,-1,0
1470336932952417,-4,-3,25,17,0,-1,-1,-1
1470336932958924,1,-1,4,14,-2,-3,-3,4
1470336932958924,-2,-1,-18,-26,7,3,-1,-3
1470336932966932,1,3,11,11,-2,0,-1,-1
1470336932966932,-4,-7,-17,-15,-5,-3,-2,0
1470336932981944,-1,1,4,0,1,-1,2,1
1470336932981944,-5,-3,9,6,-1,-2,-2,-3
1470336932982445,-2,1,0,-1,3,2,2,0
1470336932982445,-2,0,-20,-7,-1,0,0,-5
1470336933004744,3,1,24,2,-3,0,0,-2
1470336933004744,-2,-3,-10,-4,-6,0,-1,2
1470336933005749,-3,-5,-13,-1,3,-1,-1,-1
1470336933005749,2,-2,-4,-9,-2,-3,0,-1
1470336933018758,-5,2,3,12,2,2,3,-4
1470336933018758,3,-3,-1,-2,3,-1,-2,0
1470336933026764,5,-1,-1,-5,-5,-3,-2,-2
1470336933026764,-6,2,19,7,0,5,-2,-1
1470336933041778,-2,1,-9,0,-1,-4,-1,-1
1470336933041778,-3,-3,-1,-2,0,0,-1,-2
1470336933042779,-1,-3,-2,-4,-2,0,-1,-1
1470336933042779,5,4,-9,-4,-2,-3,0,1
1470336933064799,2,-8,4,-4,-1,-1,0,-1
1470336933064799,1,-1,-1,4,-1,0,2,0
1470336933064799,-6,-3,3,-3,-2,-1,-2,0
1470336933064799,0,-1,-9,-2,-2,0,-1,-2
1470336933079318,2,0,-3,0,0,-3,-2,-4
1470336933079318,-3,-1,-6,-9,-5,-3,-1,-1
1470336933086589,-1,0,14,9,5,-1,0,0
1470336933086589,-1,-6,-4,-1,6,0,-1,0
1470336933101603,-3,3,-9,-2,0,2,-2,-3
1470336933101603,1,4,-1,-2,-1,1,-2,-1
1470336933102603,-1,3,13,6,-3,-3,2,-2
1470336933102603,-2,1,-12,-6,1,1,1,-1
1470336933124625,0,0,2,-6,1,-3,-2,2
1470336933124625,-1,-1,-1,1,-3,0,-1,-3
1470336933125625,-2,-5,-10,-7,-6,-1,-5,1
1470336933125625,0,0,-3,1,4,0,-1,-1
1470336933138636,2,1,-5,-6,-4,-1,-2,0
1470336933138636,2,-2,1,7,4,0,0,0
1470336933146643,-1,-4,-7,-7,-1,0,-2,-6
1470336933146643,-3,0,1,-3,0,0,-3,0
1470336933161657,-2,2,-9,-4,-7,0,1,-4
1470336933161657,-2,-7,16,-2,-2,-1,-4,-1
1470336933162663,-1,1,1,-1,-1,1,1,-3
1470336933162663,-4,-3,1,4,-5,-3,-2,-5
1470336933184684,1,-1,-1,5,1,-1,-2,-1
1470336933184684,-3,6,7,-8,-6,0,1,1
1470336933185687,2,-1,-22,-8,4,0,-2,-1
1470336933185687,-2,-4,0,-2,-3,-1,1,1
1470336933200699,-1,1,-8,-2,0,-3,-2,-1
1470336933200699,-6,-1,13,5,-2,-3,-3,-1
1470336933206718,3,5,-9,-2,3,1,0,1
1470336933206718,0,0,-4,1,-4,0,-1,-1
1470336933221718,-7,-6,1,-6,-1,-1,2,-1
1470336933221718,2,3,-9,-1,1,-4,-2,-1
1470336933222719,-3,-3,0,2,0,1,-1,-2
1470336933222719,-2,2,0,-5,3,0,2,2
1470336933244754,1,-1,5,7,-2,1,-2,-2
1470336933244754,-4,-2,-3,-3,-1,1,1,0
1470336933245740,-2,-2,2,-2,-4,-3,-2,-1
1470336933245740,3,-3,-9,4,4,-1,-3,-2
1470336933258752,-4,-2,9,-3,-4,1,1,-2
1470336933258752,-1,-2,-4,-3,0,-4,-2,-1
1470336933267263,2,-1,0,0,-3,2,-2,-1
1470336933267263,-1,3,-4,-8,-8,-1,-2,-2
1470336933282277,-4,-4,-3,0,0,-1,-5,-2
1470336933282277,-2,2,-6,-1,-2,-1,-1,-2
1470336933282777,-1,-1,17,-7,4,-6,-1,0
1470336933282777,0,-4,-18,5,-2,0,1,0
1470336933304800,-1,2,-1,0,-2,-2,-2,-1
1470336933304800,1,-3,-8,-6,-2,-2,-1,1
1470336933304800,-3,-1,7,4,-3,-1,0,-2
1470336933304800,-4,2,1,-1,-3,-2,1,-1
1470336933327822,0,0,0,-2,3,-3,0,-1
1470336933327822,-3,-8,-29,-6,-4,-2,0,0
1470336933328824,2,-2,-7,10,1,2,0,1
1470336933328824,-2,-3,12,-12,-3,-4,0,-1
1470336933341834,-2,5,-5,3,2,2,-2,0
1470336933341834,3,2,3,0,-1,1,-1,-2
1470336933342835,0,-3,-7,-7,-6,-4,-2,-1
1470336933342835,1,1,2,2,2,1,-3,-2
1470336933364855,-1,-5,-7,-6,-4,-1,-1,-1
1470336933364855,0,-1,13,6,2,1,-2,1
1470336933364855,-2,4,-1,1,1,-1,0,2
1470336933364855,0,-3,2,-1,0,1,0,-2
1470336933387884,0,0,-4,4,-1,-2,0,1
1470336933387884,2,-1,3,-1,-1,-3,0,-3
1470336933387884,-2,-1,1,2,-5,-1,-1,-2
1470336933387884,-2,-3,-4,-5,5,-2,0,-1
1470336933401897,1,-4,-5,0,-1,0,-2,-4
1470336933401897,-1,3,14,3,-4,0,-3,-4
1470336933402898,-3,-5,2,-6,0,5,-1,2
1470336933402898,-3,-2,-2,-2,-3,-1,0,0
1470336933424917,-2,-1,-12,-6,-1,-1,1,-2
1470336933424917,-6,0,8,-2,-1,-2,0,1
1470336933424917,3,0,-12,-3,1,0,1,-3
1470336933424917,-3,-2,4,9,-1,-3,-2,1
1470336933447938,-1,-2,8,-5,0,-2,-3,2
1470336933447938,-1,-6,-16,-3,-2,-2,-1,-2
1470336933447938,-6,1,4,-2,-1,-5,-3,-2
1470336933447938,0,-1,2,1,-1,1,0,-1
1470336933461950,3,0,4,3,1,-2,1,0
1470336933461950,0,-2,-5,-4,1,1,1,-3
1470336933462953,-2,-1,15,2,-2,0,-1,-2
1470336933462953,5,0,-9,-2,-1,-1,-1,-1
1470336933484007,-3,-3,6,0,0,-2,1,0
1470336933484007,1,0,-6,3,2,1,-3,-1
1470336933484992,-7,-3,-11,-4,-3,-2,-2,-2
1470336933484992,0,-1,2,0,-2,-4,-2,-2
1470336933508013,1,-4,-5,-6,-2,0,-1,-1
1470336933508013,-2,-1,4,13,7,1,2,-2
1470336933508013,0,-2,3,1,-1,0,-1,0
1470336933508013,0,1,-14,-4,-1,-2,-3,-1
1470336933522026,-3,-1,1,0,-3,-1,-2,2
1470336933522026,-3,4,-10,-7,-3,-1,0,-5
1470336933523027,-1,1,11,4,1,-1,0,-3
1470336933523027,-4,0,-6,-4,-3,-4,-1,3
1470336933545061,-1,3,7,0,1,-1,-4,-2
1470336933545061,-6,-4,0,-4,-2,-2,-2,5
1470336933546049,2,0,-8,0,-1,0,0,-1
1470336933546049,4,-1,10,0,-2,1,-1,1
1470336933568076,-3,1,-7,0,-3,-3,-1,-3
1470336933568076,0,4,2,-2,-2,-2,-3,-1
1470336933568577,-1,0,1,0,1,-2,2,1
1470336933568577,-2,-4,-3,-1,-1,1,0,-2
1470336933582088,0,-1,4,0,-2,1,-2,-2
1470336933582088,1,-2,-8,2,-2,-2,-1,0
1470336933583089,-3,-3,5,0,0,-2,1,-2
1470336933583089,-4,1,1,1,-1,0,-2,1
1470336933604113,-1,-3,-5,-3,0,-2,1,4
1470336933604113,1,-1,-5,-2,-2,-3,-2,-4
