timestamp,x,y,z,w
1470247047296676,-0.0587769,-0.053772,-0.259521,0.962402
1470247047317695,-0.055542,-0.055481,-0.259155,0.962646
1470247047334209,-0.0526733,-0.0571899,-0.258728,0.962769
1470247047356729,-0.0499878,-0.0587158,-0.258301,0.962952
1470247047385254,-0.0474243,-0.0601196,-0.257874,0.963135
1470247047394263,-0.0449219,-0.0613403,-0.257385,0.963318
1470247047416783,-0.0426025,-0.0623169,-0.257019,0.96344
1470247047437801,-0.0407104,-0.0632324,-0.256775,0.963501
1470247047453816,-0.0390625,-0.0640259,-0.25647,0.963623
1470247047476336,-0.0375977,-0.0648193,-0.256042,0.963745
1470247047497856,-0.0355225,-0.0656738,-0.255493,0.963928
1470247047513870,-0.0328979,-0.0665894,-0.255066,0.96405
1470247047536390,-0.0307617,-0.067688,-0.2547,0.964111
1470247047557409,-0.0290527,-0.0686646,-0.254333,0.964233
1470247047581430,-0.0274048,-0.069519,-0.253967,0.964294
1470247047596444,-0.0256348,-0.0703735,-0.253601,0.964355
1470247047617462,-0.0239258,-0.0712891,-0.253357,0.964417
1470247047633978,-0.022522,-0.0720215,-0.253296,0.964417
1470247047664005,-0.0217285,-0.0726318,-0.253235,0.964417
1470247047677517,-0.0216064,-0.072876,-0.253052,0.964417
1470247047695035,-0.0214844,-0.072937,-0.25293,0.964478
1470247047716552,-0.0214233,-0.0726929,-0.25293,0.964478
1470247047737572,-0.0217285,-0.0724487,-0.25293,0.964478
1470247047754085,-0.0221558,-0.0720825,-0.252991,0.964478
1470247047776606,-0.0228271,-0.0714722,-0.253052,0.964539
1470247047797625,-0.0234985,-0.0708618,-0.252991,0.964539
1470247047814140,-0.0236816,-0.0705566,-0.252991,0.9646
1470247047837160,-0.0236206,-0.0705566,-0.252991,0.9646
1470247047857678,-0.0236816,-0.0705566,-0.252991,0.9646
1470247047874193,-0.0236816,-0.0705566,-0.252991,0.9646
1470247047896715,-0.0236816,-0.0704956,-0.252991,0.9646
1470247047919234,-0.0237427,-0.0705566,-0.252991,0.9646
1470247047941754,-0.0239868,-0.0704346,-0.253052,0.964539
1470247047956767,-0.0240479,-0.0704346,-0.253052,0.964539
1470247047979289,-0.0240479,-0.0704346,-0.253052,0.964539
1470247047993801,-0.0240479,-0.0703735,-0.253052,0.964539
1470247048016321,-0.0244141,-0.0702515,-0.253113,0.964539
1470247048038842,-0.0248413,-0.0701294,-0.253174,0.964539
1470247048053355,-0.0248413,-0.0701294,-0.253174,0.964539
1470247048076375,-0.0245361,-0.0701904,-0.253113,0.964539
1470247048098895,-0.0239868,-0.0703735,-0.253052,0.9646
1470247048113408,-0.0236206,-0.0704346,-0.252991,0.9646
1470247048136431,-0.0234985,-0.0704346,-0.25293,0.9646
1470247048158949,-0.0235596,-0.0704346,-0.25293,0.9646
1470247048173462,-0.0235596,-0.0704346,-0.25293,0.9646
1470247048196483,-0.0236206,-0.0704346,-0.25293,0.9646
1470247048219003,-0.0233765,-0.0705566,-0.25293,0.9646
1470247048233517,-0.0233765,-0.0705566,-0.25293,0.9646
1470247048256537,-0.0233765,-0.0704956,-0.25293,0.9646
1470247048279060,-0.0238037,-0.0703125,-0.252991,0.9646
1470247048293570,-0.0238647,-0.0703125,-0.252991,0.9646
1470247048316591,-0.0236816,-0.0704346,-0.253052,0.9646
1470247048339111,-0.0233765,-0.0704956,-0.253113,0.9646
1470247048353624,-0.0233765,-0.0704346,-0.253113,0.9646
1470247048384152,-0.0233765,-0.0704346,-0.253113,0.9646
1470247048399165,-0.0234375,-0.0704346,-0.253052,0.9646
1470247048420183,-0.0232544,-0.0706177,-0.253052,0.964539
1470247048436699,-0.0231934,-0.0707397,-0.253113,0.964539
1470247048459218,-0.0231934,-0.0707397,-0.253113,0.964539
1470247048480237,-0.0234985,-0.0706787,-0.253235,0.964539
