timestamp,roll,pitch,yaw
1470261532957038,1.09509,0.0665737,-2.08331
1470261532979559,1.09524,0.0660592,-2.08344
1470261532994572,1.09527,0.0656307,-2.08362
1470261533017091,1.09518,0.0655395,-2.08365
1470261533031104,1.09516,0.0655044,-2.08351
1470261533054626,1.09516,0.0655044,-2.08351
1470261533077146,1.09518,0.0655395,-2.08365
1470261533091159,1.09516,0.0655044,-2.08351
1470261533114179,1.09517,0.0654512,-2.08347
1470261533137200,1.09517,0.0654512,-2.08347
1470261533151715,1.09517,0.0654512,-2.08347
1470261533174234,1.09509,0.06536,-2.08349
1470261533197253,1.09523,0.0653092,-2.08357
1470261533218272,1.09531,0.0654003,-2.08354
1470261533234790,1.09545,0.0653495,-2.08362
1470261533256807,1.09542,0.0653144,-2.08349
1470261533278328,1.09536,0.0652583,-2.08365
1470261533294341,1.09534,0.0652232,-2.08351
1470261533316861,1.09534,0.0652232,-2.08351
1470261533337881,1.09534,0.0652232,-2.08351
1470261533354396,1.09534,0.0652232,-2.08351
1470261533376916,1.09539,0.0650812,-2.08361
1470261533397934,1.0954,0.0650279,-2.08357
1470261533414449,1.0954,0.0650279,-2.08357
1470261533436972,1.0954,0.0650279,-2.08357
1470261533457989,1.09532,0.0649368,-2.0836
1470261533474503,1.09532,0.0649368,-2.0836
1470261533497023,1.09532,0.0649368,-2.0836
1470261533525549,1.09497,0.0650181,-2.08341
1470261533534560,1.09497,0.0650181,-2.08341
1470261533557077,1.09488,0.0649269,-2.08344
1470261533578097,1.09452,0.0651497,-2.08348
1470261533594611,1.0945,0.0651146,-2.08335
1470261533617130,1.09463,0.0650637,-2.08342
1470261533647158,1.09421,0.0653404,-2.08318
1470261533654664,1.0943,0.0654316,-2.08316
1470261533676684,1.09421,0.0653404,-2.08318
1470261533699705,1.09429,0.065573,-2.08338
1470261533714718,1.09399,0.0660816,-2.08366
1470261533744745,1.09362,0.0664458,-2.08393
1470261533759758,1.09325,0.0667216,-2.08402
1470261533773771,1.09318,0.0671291,-2.08413
1470261533810805,1.09292,0.0674072,-2.08433
1470261533819315,1.09244,0.0677689,-2.08448
1470261533833826,1.09198,0.0680415,-2.08477
1470261533856846,1.09164,0.0685506,-2.08473
1470261533879366,1.09135,0.0689176,-2.08479
1470261533893879,1.09098,0.0692813,-2.08506
1470261533916900,1.0905,0.0696428,-2.08521
1470261533939421,1.09019,0.0700626,-2.08532
1470261533960439,1.08997,0.0705739,-2.0854
1470261533976954,1.08959,0.0708494,-2.08549
1470261533999474,1.08913,0.0712458,-2.08577
1470261534013988,1.08874,0.071574,-2.08591
1470261534037512,1.08841,0.072171,-2.08605
1470261534059528,1.08812,0.0725379,-2.08611
1470261534080547,1.08778,0.073047,-2.08608
1470261534097062,1.08764,0.0735618,-2.08596
1470261534119589,1.08808,0.0742344,-2.0858
1470261534140600,1.08949,0.0754296,-2.08583
