timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1470345513656132,-2,-5,6,-12,-3,-1,0,-1
1470345513656132,2,-4,-15,-9,-1,-1,-2,1
1470345513656132,4,0,10,18,0,-1,0,-1
1470345513656132,-1,1,7,0,0,-1,-1,-1
1470345513679165,-1,-3,-21,-8,1,0,1,1
1470345513679165,-1,-2,32,13,-2,-1,-1,-1
1470345513679165,5,-1,-11,-1,-1,-2,-2,0
1470345513679165,-7,0,-5,9,1,-1,1,-2
1470345513693178,5,0,3,-13,-7,-2,-2,0
1470345513693178,-4,-3,-3,1,1,0,0,-1
1470345513694180,0,-7,-7,-7,-1,1,-1,-2
1470345513694180,3,2,-1,-4,-1,-2,0,-2
1470345513715201,-1,-1,5,2,-2,-1,-1,-1
1470345513715201,-6,1,-17,-6,-4,0,-1,-2
1470345513716199,-1,-2,8,-6,-2,-1,0,-1
1470345513716199,-1,-4,-19,-4,-2,-3,-1,-1
1470345513739220,1,3,0,11,2,1,-1,-1
1470345513739220,-7,-4,2,-13,-2,-1,-2,-2
1470345513739220,7,2,11,13,-4,-1,-1,-1
1470345513739220,2,4,3,-6,-4,-3,0,0
1470345513753232,1,-3,-3,0,0,0,0,1
1470345513753232,0,0,-6,-1,-2,-1,-1,-3
1470345513754233,-2,-1,-12,-8,3,0,0,-2
1470345513754233,-3,-3,-1,-7,-2,-1,0,0
1470345513775759,0,-4,6,-1,-2,-2,-2,-1
1470345513775759,6,0,-6,-13,-6,-1,-1,0
1470345513776759,-7,2,5,15,0,-2,-1,-1
1470345513776759,-4,-4,-4,2,1,-1,-1,0
1470345513799286,12,1,4,-10,-4,0,-2,2
1470345513799286,-2,0,-7,-1,1,-1,1,-4
1470345513799286,0,0,-12,-3,-1,-1,-3,1
1470345513799286,-4,-3,21,-6,-1,-1,-1,-1
1470345513813298,-4,7,3,13,1,-1,-1,-3
1470345513813298,-2,-4,-8,8,1,-4,0,-1
1470345513814299,2,-1,-2,-14,-2,-1,1,2
1470345513814299,-3,-3,-1,7,-1,2,-1,-1
1470345513835318,-8,-7,-8,-19,1,-1,-1,-2
1470345513835318,-2,0,14,13,-3,-1,-2,-1
1470345513836319,5,3,0,7,-1,-1,-1,1
1470345513836319,0,2,1,-6,-1,-3,-2,0
1470345513858339,-5,-1,-3,7,-2,-3,0,-3
1470345513858339,-4,-4,-7,-8,1,0,-1,-1
1470345513859339,0,-1,3,-1,-2,-1,0,-1
1470345513859339,-4,0,-3,4,-1,-1,-2,-2
1470345513872858,-3,-5,3,-11,-3,-1,-2,-1
1470345513872858,4,-1,-7,-4,4,-1,-1,0
1470345513880865,-2,-6,1,0,-2,1,0,-2
1470345513880865,-10,8,12,11,-2,-1,-2,-5
1470345513895879,-3,-1,-12,0,1,-1,0,-3
1470345513895879,-1,1,6,9,-1,0,-1,0
1470345513896379,3,-4,-10,-43,-5,-1,-1,-1
1470345513896379,3,-1,-3,3,-2,-2,-1,2
1470345513918900,-2,-2,5,5,2,-2,1,-2
1470345513918900,1,2,3,7,1,-1,-1,0
1470345513919900,-7,-6,0,10,-1,-2,-3,-3
1470345513919900,3,4,-11,-7,-3,0,1,-1
1470345513932411,-6,-5,-6,-4,-2,-3,-1,-1
1470345513932411,1,-4,-5,-6,-2,-2,-1,-1
1470345513940919,1,2,-2,8,1,-3,-2,-1
1470345513940919,0,-3,14,-6,-3,-1,-1,1
1470345513955932,1,-1,-13,8,1,0,-2,-2
1470345513955932,-3,-3,-8,-10,-1,-2,-1,-2
1470345513956432,-1,1,3,2,-2,0,-1,0
1470345513956432,7,-4,-16,-5,0,-1,-2,-1
1470345513986460,-2,-4,8,4,3,1,-1,0
1470345513986460,-1,1,-1,0,0,-2,-3,0
1470345513987460,2,0,13,2,2,2,0,1
1470345513987460,-3,-2,-13,-2,1,-1,0,1
1470345513992465,2,-1,1,7,1,-1,-1,-1
1470345513992465,-1,-2,-7,-6,0,0,1,-1
1470345514000973,0,0,-5,-1,2,1,-1,-1
1470345514000973,1,1,9,5,-3,-2,1,-1
1470345514015986,-3,1,7,1,-2,0,-1,0
1470345514015986,-4,-1,4,2,-2,0,-1,1
1470345514016487,2,-1,-9,-4,-4,-3,-1,-1
1470345514016487,0,4,-8,-12,0,2,-2,-2
1470345514039007,-5,-2,-3,8,-2,-1,0,-1
1470345514039007,-2,-6,10,-4,-2,0,-2,-2
1470345514040008,-6,8,7,-7,-2,-1,0,-1
1470345514040008,-1,-5,-10,-1,-3,-2,-1,0
1470345514061527,3,-1,-3,-5,-2,-2,0,0
1470345514061527,-2,1,-12,5,1,-1,0,0
1470345514062528,-2,-5,-4,-5,-2,-2,-2,-1
1470345514062528,-2,-1,6,1,0,-2,-3,0
1470345514075539,-3,2,2,-6,0,-1,-1,-2
1470345514075539,4,-6,-6,-2,1,-1,0,-3
1470345514076541,-8,-2,-5,4,1,0,0,-3
1470345514076541,3,-1,2,-7,-2,-2,-1,0
1470345514099061,-1,-2,-9,0,-3,-2,-1,-3
1470345514099061,-2,-1,-6,-7,-3,0,0,-1
1470345514100061,-2,-2,3,5,-1,-1,-1,-1
1470345514100061,1,1,-3,-1,0,2,0,-1
1470345514112579,-3,1,6,-3,1,2,-1,1
1470345514112579,5,-2,-4,-6,-2,-3,0,0
1470345514120585,-7,-2,-8,5,-1,-3,-1,-3
1470345514120585,-9,-4,7,0,2,0,0,-1
1470345514135600,0,-3,4,0,-3,-2,-1,-1
1470345514135600,4,-1,-12,3,-2,0,-2,-1
1470345514136600,4,-3,-9,-14,-1,1,1,0
1470345514136600,-2,0,9,2,6,2,1,-1
1470345514158621,1,-2,6,3,-2,0,-1,0
1470345514158621,-6,2,5,1,-1,-2,0,-2
1470345514159622,0,1,4,11,-1,-2,-2,-3
1470345514159622,-2,-5,-9,-7,-2,0,-2,-3
1470345514172632,2,1,-14,-10,0,0,0,-1
1470345514172632,-5,0,18,5,-4,-1,-1,-1
1470345514180638,2,1,-3,-1,3,2,0,2
1470345514180638,2,-1,-4,5,0,-2,1,-1
1470345514195659,-1,0,1,-7,-5,-2,-2,-2
1470345514195659,-2,2,-4,-3,-3,-2,-2,-1
1470345514196661,0,-3,-2,-1,-1,-1,-2,-1
1470345514196661,-2,-1,-5,-2,-1,1,-1,-3
1470345514218685,0,3,14,6,2,-1,-1,0
1470345514218685,-2,-1,4,-4,0,-1,0,1
1470345514219687,-5,-6,5,-5,3,-1,-2,-2
1470345514219687,3,8,-4,3,-3,-2,-1,1
1470345514241705,-2,-3,5,11,1,1,1,-1
1470345514241705,-2,10,8,-7,-2,1,-1,0
1470345514241705,1,-4,4,12,-2,-2,-1,0
1470345514241705,2,-4,-6,-12,-1,0,-1,1
1470345514255719,-1,2,4,6,-2,-3,-2,-2
1470345514255719,1,-2,0,-4,0,-2,0,-2
1470345514256719,1,-1,-5,-5,-5,-1,1,-1
1470345514256719,2,-1,8,6,0,-3,-3,-1
1470345514278738,-3,-4,-19,-8,-3,0,-1,1
1470345514278738,1,-5,9,2,1,-1,-1,-1
1470345514279741,1,2,6,-2,-4,-1,-1,-1
