timestamp,roll,pitch,yaw
1470247648588437,-0.503359,0.00632946,-0.915372
1470247648609455,-0.502301,0.00640181,-0.915548
1470247648625970,-0.500613,0.00664281,-0.915676
1470247648648490,-0.499684,0.00733849,-0.915709
1470247648669509,-0.49974,0.00804108,-0.91562
1470247648692029,-0.501165,0.00804946,-0.915685
1470247648708545,-0.502676,0.0076866,-0.915774
1470247648729563,-0.504307,0.00700708,-0.915803
1470247648746580,-0.505843,0.00646183,-0.915593
1470247648768098,-0.506356,0.00608119,-0.915565
1470247648789117,-0.505225,0.00633885,-0.915623
1470247648805684,-0.503654,0.00679194,-0.915826
1470247648829208,-0.50251,0.00760564,-0.915874
1470247648849223,-0.502162,0.00839957,-0.915607
1470247648865738,-0.50317,0.00879062,-0.915415
1470247648888258,-0.504598,0.00853486,-0.915413
1470247648909277,-0.506407,0.00797793,-0.915227
1470247648925793,-0.507636,0.00712609,-0.915009
1470247648948312,-0.507816,0.00665164,-0.914919
1470247648969331,-0.506745,0.00675072,-0.914946
1470247648985846,-0.505281,0.00710997,-0.915273
1470247649008366,-0.504089,0.00779006,-0.915429
1470247649030888,-0.503908,0.00859715,-0.915325
1470247649045903,-0.505047,0.00917358,-0.915358
1470247649068421,-0.506213,0.00900817,-0.915309
1470247649090940,-0.507761,0.0084363,-0.915248
1470247649105954,-0.508656,0.00775478,-0.915036
1470247649128474,-0.508361,0.00722455,-0.914842
1470247649150994,-0.506957,0.00722954,-0.914806
1470247649166007,-0.505207,0.00762786,-0.914961
1470247649188528,-0.503896,0.00842796,-0.914846
1470247649210548,-0.503607,0.00932801,-0.914618
1470247649225061,-0.50402,0.00987467,-0.914557
1470247649248582,-0.505103,0.00974864,-0.914678
1470247649270602,-0.506663,0.0092553,-0.914592
1470247649285115,-0.507808,0.00844258,-0.914545
1470247649308136,-0.507738,0.00803104,-0.914552
1470247649330656,-0.506347,0.00800861,-0.914663
1470247649345169,-0.504598,0.00833868,-0.915081
1470247649368191,-0.503239,0.00927,-0.915143
1470247649390710,-0.502998,0.0102352,-0.915069
1470247649405223,-0.503555,0.0107809,-0.915139
1470247649428244,-0.504577,0.0108128,-0.91529
1470247649450763,-0.505661,0.0101578,-0.915274
1470247649465277,-0.50633,0.00955297,-0.915192
1470247649488298,-0.505784,0.00924454,-0.915338
1470247649510819,-0.504202,0.00939201,-0.915587
1470247649531838,-0.502217,0.00982767,-0.915988
1470247649548352,-0.500647,0.0108103,-0.916327
1470247649570871,-0.500395,0.0117348,-0.916369
1470247649591890,-0.50119,0.0121759,-0.916455
1470247649608405,-0.502558,0.0117455,-0.916678
1470247649630927,-0.503974,0.0109192,-0.916656
1470247649651944,-0.504867,0.0102366,-0.916444
1470247649668458,-0.504821,0.0098391,-0.916484
1470247649690979,-0.503228,0.0100146,-0.916585
1470247649711997,-0.50116,0.0105585,-0.916894
1470247649728012,-0.499744,0.011385,-0.916918
1470247649750533,-0.499564,0.0119275,-0.916744
1470247649772052,-0.500063,0.0121022,-0.916706
1470247649788066,-0.501311,0.0115272,-0.916589
1470247649810586,-0.503012,0.0107296,-0.916474
1470247649831605,-0.503905,0.00978271,-0.916194
1470247649848120,-0.503347,0.00950172,-0.916193
1470247649870640,-0.501481,0.00995374,-0.916341
1470247649891659,-0.499245,0.0110133,-0.916625
1470247649908174,-0.497474,0.0119962,-0.916623
1470247649930694,-0.497364,0.0132145,-0.916508
1470247649952214,-0.49754,0.0138649,-0.916429
1470247649968228,-0.497636,0.0137987,-0.916405
1470247649990749,-0.498835,0.0131582,-0.916135
1470247650013270,-0.499215,0.0125916,-0.915883
1470247650027782,-0.497968,0.0127046,-0.9156
1470247650050803,-0.495496,0.0136705,-0.915535
1470247650073322,-0.493075,0.0147022,-0.915625
1470247650088336,-0.491483,0.0155403,-0.915338
1470247650110857,-0.490937,0.0160935,-0.915427
1470247650133376,-0.490973,0.0159211,-0.915365
1470247650147889,-0.492351,0.0146718,-0.915531
1470247650170911,-0.493905,0.0137147,-0.915045
1470247650193430,-0.495365,0.0130891,-0.914649
1470247650207942,-0.495495,0.0128128,-0.914474
1470247650230964,-0.493975,0.0132008,-0.914238
1470247650253483,-0.492111,0.0139831,-0.914191
1470247650267497,-0.491196,0.0144536,-0.91404
1470247650291018,-0.49142,0.0146405,-0.913977
1470247650313539,-0.492667,0.0142647,-0.91419
1470247650328051,-0.49408,0.0134399,-0.914167
1470247650351071,-0.495375,0.0127341,-0.913872
1470247650381099,-0.496408,0.0120808,-0.913438
1470247650387649,-0.495956,0.0121052,-0.913106
1470247650410669,-0.494079,0.0126482,-0.912844
1470247650433190,-0.491978,0.0132685,-0.912714
1470247650447703,-0.49098,0.0137779,-0.912733
1470247650471224,-0.491549,0.0137689,-0.912811
1470247650493244,-0.492963,0.0131431,-0.913118
1470247650514262,-0.494711,0.0120823,-0.913351
1470247650538284,-0.496553,0.0113541,-0.913102
1470247650553298,-0.497302,0.0109371,-0.912829
1470247650574316,-0.496731,0.0110134,-0.912488
1470247650590831,-0.495316,0.0115724,-0.912444
1470247650613852,-0.493558,0.0122608,-0.912522
1470247650634872,-0.492559,0.0130348,-0.912609
1470247650650887,-0.492938,0.0132625,-0.91256
1470247650673405,-0.494411,0.012743,-0.912905
1470247650694424,-0.496278,0.0118949,-0.913215
1470247650710940,-0.498025,0.0112328,-0.91299
1470247650733459,-0.499035,0.0108312,-0.912593
1470247650754477,-0.498595,0.0108291,-0.912407
1470247650770993,-0.496788,0.0114514,-0.912331
1470247650793513,-0.494472,0.0121222,-0.912478
1470247650814532,-0.493521,0.0126976,-0.912651
1470247650831047,-0.494186,0.0126227,-0.912705
1470247650853567,-0.495588,0.0120232,-0.912865
1470247650874585,-0.497289,0.0111611,-0.913012
1470247650890601,-0.498775,0.0105515,-0.912648
1470247650913621,-0.498883,0.0101321,-0.911848
1470247650935641,-0.497125,0.0101604,-0.911197
1470247650950654,-0.494583,0.0105783,-0.910552
1470247650973175,-0.49222,0.0109827,-0.910218
1470247650996196,-0.490974,0.0111578,-0.909677
1470247651010709,-0.490595,0.011062,-0.909201
1470247651033229,-0.49002,0.0101697,-0.908185
1470247651055749,-0.489589,0.00903993,-0.90688
1470247651076767,-0.489361,0.00815007,-0.90522
1470247651093283,-0.488518,0.00739829,-0.903661
1470247651115802,-0.486616,0.00730706,-0.902156
1470247651130316,-0.484474,0.00744984,-0.901226
1470247651153337,-0.483136,0.00774728,-0.900454
1470247651175857,-0.482843,0.00767425,-0.89955
1470247651189869,-0.483456,0.00703305,-0.899171
1470247651213391,-0.484544,0.00612099,-0.899086
1470247651235910,-0.485963,0.00537234,-0.898797
1470247651249923,-0.487333,0.00475583,-0.898683
1470247651273444,-0.487847,0.00437908,-0.898655
1470247651295965,-0.487037,0.00468606,-0.898892
1470247651309978,-0.486078,0.00545446,-0.899394
1470247651333498,-0.485388,0.00654464,-0.899721
1470247651356019,-0.485769,0.00727872,-0.899947
1470247651377037,-0.486775,0.00721394,-0.900465
1470247651393052,-0.488191,0.00653157,-0.901029
1470247651416072,-0.490067,0.00599982,-0.901282
1470247651437091,-0.49153,0.005582,-0.901212
1470247651453605,-0.491414,0.00536876,-0.901138
1470247651483132,-0.489725,0.00592924,-0.901076
1470247651497150,-0.487454,0.00672068,-0.901121
1470247651513660,-0.486439,0.00751492,-0.901062
1470247651535679,-0.486888,0.00762644,-0.900867
1470247651557199,-0.487068,0.00741676,-0.900846
1470247651573213,-0.486889,0.00659323,-0.900457
1470247651595733,-0.486239,0.00586671,-0.899096
1470247651617753,-0.483548,0.00527784,-0.896526
1470247651633268,-0.478391,0.00491511,-0.893313
1470247651663294,-0.471818,0.00466304,-0.889401
1470247651676839,-0.465679,0.00413805,-0.885248
1470247651693321,-0.460827,0.00327647,-0.880327
1470247651715842,-0.456724,0.0020309,-0.874863
1470247651736863,-0.452348,-0.000163317,-0.869339
1470247651752874,-0.446701,-0.00338178,-0.86399
1470247651775895,-0.440606,-0.00639869,-0.858172
1470247651796914,-0.434014,-0.0095224,-0.851737
1470247651812929,-0.426796,-0.0126165,-0.845184
1470247651835950,-0.419646,-0.0154159,-0.838889
1470247651856982,-0.411904,-0.0181741,-0.832881
1470247651872982,-0.402828,-0.0202744,-0.826413
1470247651896504,-0.39283,-0.0225674,-0.819182
1470247651918525,-0.381877,-0.02567,-0.811834
1470247651932579,-0.370915,-0.0297945,-0.803822
