timestamp,x,y,z,w
1470331523604363,-0.206787,-0.203552,0.522278,0.80188
1470331523620877,-0.206665,-0.203064,0.522034,0.802185
1470331523635890,-0.206543,-0.202332,0.52179,0.802551
1470331523656910,-0.206482,-0.201355,0.521729,0.802856
1470331523680431,-0.206299,-0.200195,0.52179,0.803101
1470331523695445,-0.206116,-0.198975,0.521912,0.803406
1470331523716964,-0.205933,-0.197693,0.522095,0.803711
1470331523756499,-0.205933,-0.196472,0.522217,0.803894
1470331523758502,-0.205811,-0.195313,0.5224,0.804077
1470331523770513,-0.205444,-0.194214,0.5224,0.804443
1470331523788528,-0.205017,-0.193237,0.522339,0.80481
1470331523808546,-0.204712,-0.192444,0.522278,0.805115
1470331523837572,-0.204529,-0.191895,0.522217,0.805359
1470331523882112,-0.204468,-0.191528,0.522156,0.805481
1470331523892121,-0.204468,-0.191101,0.521973,0.805725
1470331523892622,-0.204224,-0.190491,0.521851,0.805969
1470331523905634,-0.204102,-0.189941,0.521729,0.806213
1470331523926652,-0.204163,-0.189697,0.521545,0.806396
1470331523949173,-0.204346,-0.189636,0.521362,0.806458
1470331523967190,-0.204712,-0.189575,0.52124,0.806458
1470331523986707,-0.205078,-0.189575,0.52124,0.806396
1470331524009226,-0.205261,-0.189392,0.521179,0.806396
1470331524027243,-0.2052,-0.189148,0.521179,0.806458
1470331524046760,-0.2052,-0.189148,0.521179,0.806519
1470331524069280,-0.205322,-0.18927,0.521179,0.806458
1470331524087297,-0.205627,-0.189514,0.521179,0.806335
1470331524106814,-0.205994,-0.189758,0.521179,0.806152
1470331524129334,-0.206299,-0.189941,0.52124,0.805969
1470331524147350,-0.206421,-0.190063,0.521301,0.805908
1470331524166867,-0.206421,-0.190063,0.521301,0.805908
1470331524189388,-0.206421,-0.190063,0.521301,0.805908
1470331524207404,-0.206482,-0.190308,0.521362,0.805786
1470331524226922,-0.206604,-0.190613,0.521484,0.805603
1470331524249442,-0.206604,-0.190613,0.521484,0.805603
1470331524267460,-0.206604,-0.190613,0.521484,0.805603
1470331524287976,-0.206543,-0.190796,0.521606,0.805481
1470331524309495,-0.206543,-0.190979,0.521729,0.805359
1470331524327012,-0.206665,-0.191284,0.521973,0.805115
1470331524348531,-0.206726,-0.191406,0.522156,0.804932
1470331524369050,-0.206726,-0.191467,0.522156,0.804932
1470331524387067,-0.206726,-0.191467,0.522156,0.804932
1470331524408085,-0.206726,-0.191467,0.522156,0.804932
1470331524429104,-0.206726,-0.191528,0.522156,0.804932
1470331524447120,-0.206787,-0.191528,0.522095,0.804932
1470331524468141,-0.206787,-0.191528,0.522095,0.804932
1470331524489157,-0.206787,-0.191528,0.522095,0.804932
1470331524507174,-0.206787,-0.191528,0.522095,0.804932
1470331524528194,-0.206787,-0.191589,0.522095,0.804932
1470331524549213,-0.206787,-0.191406,0.521912,0.805054
1470331524567228,-0.206726,-0.191284,0.52179,0.805237
1470331524588248,-0.206665,-0.191284,0.52179,0.805237
1470331524609269,-0.206665,-0.191284,0.52179,0.805237
1470331524627306,-0.206665,-0.191284,0.52179,0.805237
1470331524648300,-0.206665,-0.191223,0.52179,0.805237
1470331524669349,-0.206665,-0.191223,0.52179,0.805237
1470331524687349,-0.206482,-0.190979,0.521729,0.805359
1470331524709856,-0.206299,-0.190796,0.521667,0.805542
1470331524729376,-0.206238,-0.190796,0.521667,0.805542
1470331524747389,-0.206238,-0.190796,0.521667,0.805542
1470331524770036,-0.206238,-0.190796,0.521667,0.805542
1470331524789486,-0.205994,-0.190735,0.521667,0.805603
1470331524807443,-0.205994,-0.190735,0.521667,0.805603
1470331524829970,-0.205994,-0.190735,0.521667,0.805603
1470331524849481,-0.205994,-0.190735,0.521667,0.805603
1470331524872557,-0.205994,-0.190735,0.521667,0.805603
1470331524889017,-0.205688,-0.190613,0.521606,0.805725
1470331524911541,-0.205444,-0.190613,0.521606,0.805786
1470331524932614,-0.205444,-0.190613,0.521606,0.805786
1470331524949070,-0.205383,-0.190613,0.521606,0.805786
1470331524971591,-0.205383,-0.190613,0.521606,0.805786
1470331524992619,-0.205322,-0.190491,0.521606,0.805847
1470331525009124,-0.205078,-0.190308,0.521545,0.805969
1470331525031645,-0.205078,-0.190308,0.521545,0.805969
1470331525052663,-0.205078,-0.190308,0.521545,0.805969
1470331525068680,-0.205078,-0.190308,0.521545,0.80603
1470331525091200,-0.205078,-0.190308,0.521545,0.80603
1470331525112717,-0.205078,-0.190369,0.521545,0.80603
1470331525128731,-0.205078,-0.190369,0.521545,0.80603
1470331525151252,-0.204956,-0.190186,0.521484,0.806152
1470331525172273,-0.204651,-0.189941,0.521362,0.806274
1470331525188785,-0.204407,-0.189697,0.521301,0.806458
1470331525210807,-0.204102,-0.189392,0.52124,0.806641
1470331525233826,-0.203552,-0.189026,0.521179,0.806946
1470331525254904,-0.20282,-0.188477,0.521179,0.807251
1470331525271360,-0.201965,-0.187927,0.52124,0.807556
1470331525293880,-0.200989,-0.187317,0.521362,0.807861
1470331525308893,-0.200195,-0.187256,0.521545,0.807983
1470331525331354,-0.199829,-0.187439,0.521729,0.807922
1470331525353867,-0.199402,-0.187622,0.521912,0.807861
1470331525374976,-0.19873,-0.187622,0.522034,0.807922
1470331525391400,-0.197937,-0.187439,0.522095,0.808105
1470331525413945,-0.197205,-0.187561,0.522217,0.808228
1470331525428461,-0.196533,-0.187866,0.522278,0.808228
1470331525451480,-0.196045,-0.188171,0.5224,0.808228
1470331525473974,-0.195496,-0.188354,0.522461,0.808289
1470331525488493,-0.194763,-0.188171,0.5224,0.808533
1470331525511539,-0.194031,-0.187927,0.522461,0.808716
1470331525534075,-0.193542,-0.187805,0.5224,0.808899
1470331525548542,-0.192932,-0.187744,0.522217,0.809143
1470331525571563,-0.192383,-0.187866,0.521973,0.809448
