timestamp,roll,pitch,yaw
1470330447676778,-0.242078,0.0171743,0.168184
1470330447691785,-0.242202,0.0171846,0.168184
1470330447714306,-0.242202,0.0171846,0.168184
1470330447738371,-0.242202,0.0171846,0.168184
1470330447753366,-0.242202,0.0171846,0.168184
1470330447774360,-0.242202,0.0171846,0.168184
1470330447798382,-0.242326,0.0171949,0.168184
1470330447844422,-0.242326,0.0171949,0.168184
1470330447846424,-0.24245,0.0172052,0.168185
1470330447857935,-0.24245,0.0172052,0.168185
1470330447875952,-0.24245,0.0172052,0.168185
1470330447895969,-0.24245,0.0172052,0.168185
1470330447924994,-0.242461,0.0170845,0.168199
1470330447969534,-0.242461,0.0170845,0.168199
1470330447979553,-0.24245,0.0172052,0.168185
1470330447980046,-0.242575,0.0172155,0.168185
1470330447993056,-0.242575,0.0172155,0.168185
1470330448014075,-0.242575,0.0172155,0.168185
1470330448036595,-0.242575,0.0172155,0.168185
1470330448054708,-0.242575,0.0172155,0.168185
1470330448074216,-0.242699,0.0172258,0.168185
1470330448096651,-0.242699,0.0172258,0.168185
1470330448114669,-0.242699,0.0172258,0.168185
1470330448134185,-0.242685,0.017226,0.168175
1470330448156731,-0.242685,0.017226,0.168175
1470330448174831,-0.242809,0.0172363,0.168175
1470330448194292,-0.242809,0.0172363,0.168175
1470330448216793,-0.242809,0.0172363,0.168175
1470330448234776,-0.242809,0.0172363,0.168175
1470330448254350,-0.242809,0.0172363,0.168175
1470330448276812,-0.242809,0.0172363,0.168175
1470330448294826,-0.242809,0.0172363,0.168175
1470330448314379,-0.242809,0.0172363,0.168175
1470330448336864,-0.242933,0.0172466,0.168175
1470330448354882,-0.242933,0.0172466,0.168175
1470330448374433,-0.242933,0.0172466,0.168175
1470330448396965,-0.243058,0.0172569,0.168175
1470330448414436,-0.243058,0.0172569,0.168175
1470330448435486,-0.243058,0.0172569,0.168175
1470330448456972,-0.243058,0.0172569,0.168175
1470330448475055,-0.243058,0.0172569,0.168175
1470330448496008,-0.243441,0.017182,0.168313
1470330448517028,-0.243441,0.017182,0.168313
1470330448534607,-0.243565,0.0171923,0.168313
1470330448555602,-0.243565,0.0171923,0.168313
1470330448576582,-0.243565,0.0171923,0.168313
1470330448594628,-0.243565,0.0171923,0.168313
1470330448615615,-0.24369,0.0172026,0.168314
1470330448636718,-0.24369,0.0172026,0.168314
1470330448654657,-0.243675,0.0172028,0.168303
1470330448675669,-0.243675,0.0172028,0.168303
1470330448696732,-0.2438,0.0172131,0.168304
1470330448714721,-0.2438,0.0172131,0.168304
1470330448735727,-0.2438,0.0172131,0.168304
1470330448756742,-0.24379,0.0173339,0.168289
1470330448774780,-0.24379,0.0173339,0.168289
1470330448795778,-0.24379,0.0173339,0.168289
1470330448819814,-0.24379,0.0173339,0.168289
1470330448834867,-0.24379,0.0173339,0.168289
1470330448857346,-0.24379,0.0173339,0.168289
1470330448876872,-0.24379,0.0173339,0.168289
1470330448894866,-0.243914,0.0173442,0.168289
1470330448917388,-0.243914,0.0173442,0.168289
1470330448939406,-0.24379,0.0173339,0.168289
1470330448959986,-0.243572,0.0169956,0.1687
1470330448976470,-0.243364,0.0165217,0.169004
1470330448998960,-0.24381,0.0157672,0.169598
1470330449020004,-0.246161,0.0142494,0.170653
1470330449036511,-0.250541,0.0122095,0.172038
1470330449059014,-0.256611,0.00920303,0.174302
1470330449080120,-0.262912,0.00660985,0.176665
1470330449096548,-0.27156,0.00542783,0.177767
1470330449119067,-0.281156,0.00477381,0.17845
1470330449140123,-0.286856,0.00602723,0.177587
1470330449156601,-0.290146,0.00929493,0.175906
1470330449179151,-0.294891,0.0128432,0.17442
1470330449200141,-0.301201,0.0172804,0.173053
1470330449216154,-0.301814,0.0275449,0.17175
1470330449238676,-0.299216,0.0437836,0.171682
1470330449260194,-0.295391,0.0633025,0.171963
1470330449275710,-0.290852,0.0875437,0.171176
1470330449298730,-0.287165,0.116947,0.168776
1470330449319761,-0.285807,0.149057,0.163898
1470330449335763,-0.285073,0.186167,0.156253
1470330449358783,-0.283268,0.226565,0.145225
1470330449381846,-0.281597,0.269851,0.12965
1470330449395816,-0.280484,0.315268,0.109654
1470330449418838,-0.280369,0.361935,0.0864123
1470330449441358,-0.280973,0.408048,0.0617462
1470330449455870,-0.283992,0.45229,0.0355761
1470330449478891,-0.287099,0.494211,0.00822464
1470330449501412,-0.286686,0.533685,-0.0185716
1470330449515437,-0.281685,0.571292,-0.0443369
1470330449538949,-0.272504,0.606554,-0.067578
1470330449561467,-0.259569,0.638481,-0.0872751
1470330449575478,-0.247357,0.664425,-0.104188
1470330449622580,-0.235361,0.686339,-0.117828
1470330449627529,-0.224509,0.705049,-0.129202
1470330449650045,-0.213332,0.72058,-0.138847
1470330449659052,-0.200429,0.732769,-0.147134
1470330449681572,-0.186483,0.742606,-0.154332
1470330449702612,-0.173474,0.750911,-0.160299
1470330449719106,-0.16196,0.757339,-0.164592
1470330449741651,-0.153174,0.762537,-0.167819
1470330449762645,-0.148731,0.767542,-0.171707
1470330449778660,-0.147013,0.772125,-0.176526
1470330449801180,-0.144844,0.775882,-0.18107
1470330449822700,-0.143497,0.778676,-0.18532
1470330449838717,-0.143556,0.780516,-0.188727
1470330449861234,-0.145018,0.781839,-0.191208
1470330449890272,-0.147759,0.782254,-0.193197
1470330449898769,-0.151356,0.782451,-0.195388
1470330449921292,-0.155416,0.783284,-0.19785
1470330449942349,-0.159493,0.784538,-0.19958
1470330449958823,-0.163659,0.786124,-0.200465
1470330449981343,-0.168887,0.788512,-0.201377
1470330450009868,-0.175751,0.791897,-0.202994
1470330450018876,-0.181433,0.796303,-0.204271
